"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1148","Harvard Westlake Robotics","","1720","1655","33","8.8","20.6","3.6","0.5","0.29","","1"
"294","Beach Cities Robotics","","1755","1694","35.9","11.4","21.4","3.1","0.41","0.21","","2"
"2659","RoboWarriors","","1685","1625","30.2","10.8","15.5","3.9","0.43","0.4","","3"
"1538","The Holy Cows","","1705","1640","31.8","13.2","17.5","1.1","0.4","0.1","","4"
"5458","Digital Minds","","1660","1608","28.1","9.6","15.3","3.2","0.35","0.11","","5"
"2429","THE BLOCKHEADS","","1630","1589","25.7","9.4","14.3","1.9","0.46","0.02","","6"
"2584","Flame of The West","","1636","1593","26.1","8.1","14.4","3.6","0.37","0.19","","7"
"4419","Team Rewind","","1589","1564","22.3","8.5","12.6","1.3","0.35","-0.02","","8"
"6657","Arborbotics","","1616","1581","24.5","11.6","10.8","2.1","0.37","-0.06","","9"
"2073","EagleForce","","1665","1612","28.6","11.7","14.2","2.7","0.38","-0.03","","10"
"7673","Formosan Sika","","1501","1505","15.1","6.7","6.9","1.4","0.17","0.05","","11"
"399","Eagle Robotics","","1651","1603","27.4","9","15.5","3","0.4","-0.04","","12"
"6072","Triton Tech 6072","","1546","1536","18.8","7.1","11.3","0.4","0.3","-0.15","","13"
"5137","Iron Kodiaks","","1568","1551","20.6","8","11.3","1.3","0.25","0.15","","14"
"4123","Tribe Robotics","","1543","1534","18.5","7.2","9.8","1.6","0.3","0.14","","15"
"7444","MOON STAR ROBOTICS","","1595","1568","22.8","10.4","10","2.5","0.21","0.07","","16"
"968","RAWC (Robotics Alliance Of ...","","1513","1514","16.1","3.8","11.7","0.6","0.26","0.16","","17"
"1515","MorTorq","","1607","1575","23.8","10.1","12.2","1.5","0.23","0.11","","18"
"1836","The MilkenKnights","","1485","1494","13.8","4.5","9.1","0.2","0.23","-0.09","","19"
"2658","Σ-Motion","","1603","1573","23.5","7.5","13.5","2.4","0.24","0.22","","20"
"7682","FUSION ROBOTICS","true","1509","1512","15.8","6.3","9.4","0","0.18","-0.16","","21"
"2543","TitanBot","","1541","1533","18.4","6.9","9.9","1.6","0.2","0.08","","22"
"4322","Clockwork","","1530","1525","17.4","8","9","0.4","0.18","-0.02","","23"
"691","Project 691 Robotics","","1428","1444","9.1","1.5","6.6","1.1","0.1","-0.09","","24"
"6479","AZTECH Robotics","","1490","1498","14.2","3.4","9.7","1.1","0.08","0.02","","25"
"8768","CTEC Titans","","1574","1554","21.1","3.6","15","2.5","0.25","0.09","","26"
"6060","Circuit Serpents","","1532","1527","17.6","7","8.7","2","-0.03","-0.02","","27"
"5012","Gryffingear","","1424","1441","8.8","3.2","4.2","1.4","0.17","0.03","","28"
"9666","AAE Knights","true","1432","1448","9.4","3","5.4","1","-0.01","-0.05","","29"
"8569","Zhonghe","true","1497","1503","14.8","6.8","6.1","1.9","0.09","0.1","","30"
"7607","The Blackbirds","","1405","1420","7.3","4","2.6","0.7","0","-0.03","","31"
"599","The Robodox","","1515","1516","16.3","6.6","9.1","0.5","0.12","-0.15","","32"
"3993","Humanoids","true","1417","1433","8.2","5.4","1.7","1.2","-0.06","0","","33"
"2404","Team NEY Techs (TNT)","true","1409","1425","7.6","4","3.5","0","-0.02","-0.12","","34"
"5857","Walnut Valley Robotics","","1354","1356","3","1","1.8","0.3","-0.13","0.01","","35"
"6305","Stable Circuits","","1492","1499","14.4","5.4","8","0.9","0.14","-0.06","","36"
"4014","Pixelators","","1467","1479","12.3","3.9","7.3","1.1","0.13","-0.06","","37"
"9471","EF Academy","true","1395","1408","6.4","5.6","0.9","-0.1","-0.16","-0.11","","38"
"8006","The Phantoms","","1364","1369","3.8","4.2","-0.2","-0.1","-0.19","0.07","","39"
"5869","QHHS Aqueducks","true","1471","1483","12.6","2.6","9.6","0.4","0.06","-0.18","","40"
