"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"254","The Cheesy Poofs","","2032","1952","58.6","17.4","33.8","7.4","0.72","0.61","","1"
"1678","Citrus Circuits","","2032","1952","58.6","20.7","30","7.9","0.85","0.65","","2"
"5940","BREAD","","2004","1929","56.4","17","32.1","7.2","0.69","0.52","","3"
"114","Eaglestrike","","1827","1762","41.8","11.3","26.3","4.2","0.75","0.23","","4"
"9609","Paraducks","","1677","1619","29.5","8.7","19.2","1.7","0.42","0.23","","5"
"5419","Berkelium","","1762","1701","36.5","10.3","20.2","6","0.61","0.42","","6"
"581","Blazing Bulldogs","","1808","1744","40.2","16","19.3","5","0.64","0.38","","7"
"972","Iron Claw","","1705","1640","31.8","9.5","19.7","2.6","0.56","0.14","","8"
"4698","Raider Robotics","","1712","1647","32.4","13.3","14","5.1","0.55","0.22","","9"
"6619","GravitechX","","1764","1703","36.6","13","22","1.6","0.56","0.14","","10"
"2288","Hydra Robotics","","1659","1608","28","10.2","15.5","2.3","0.38","0.04","","11"
"841","The BioMechs","","1761","1700","36.4","8.1","25.9","2.4","0.55","0.04","","12"
"649","MSET Fish","","1626","1587","25.4","10.4","14.2","0.8","0.36","0.14","","13"
"5507","Robotic Eagles","","1582","1559","21.8","8.2","8.8","4.8","0.22","0.27","","14"
"3045","Gear Gremlins","","1636","1593","26.1","9.3","15.2","1.7","0.38","0.13","","15"
"8852","Drew Robotics","","1584","1561","21.9","9.3","10.6","2.1","0.23","0.22","","16"
"3256","WarriorBorgs","","1671","1615","29","11.2","15.6","2.2","0.34","0.24","","17"
"7245","LionBot Robotics","","1465","1478","12.1","3.7","7.5","0.9","0.14","0.01","","18"
"3482","Arrowbotics","","1495","1501","14.6","6","8","0.6","0.24","-0.02","","19"
"5274","Wolverine Robotics","","1569","1551","20.6","5.9","11.9","2.8","0.24","0.13","","20"
"4159","CardinalBotics","","1499","1504","15","2.6","11.4","1.1","0.25","-0.02","","21"
"9038","SF UNITY","","1486","1495","13.9","8.3","5.3","0.2","0.02","-0.05","","22"
"2854","The Prototypes","","1581","1558","21.6","8","12.2","1.4","0.2","0.01","","23"
"6418","The Missfits","","1595","1567","22.8","9.4","11.7","1.7","0.32","-0.04","","24"
"1700","Gatorbotics","","1504","1508","15.4","6.4","7.7","1.3","0.2","0.16","","25"
"9545","Caracal Robotics","","1500","1505","15","7.8","6.3","0.9","-0.03","0.09","","26"
"5985","Project Bucephalus","","1499","1504","15","5.6","7.9","1.5","0.08","-0.13","","27"
