"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"5199","Robot Dolphins From Outer S...","","1730","1667","33.9","10.8","15.9","7.1","0.48","0.51","","1"
"7157","μBotics","","1689","1627","30.5","10.7","16.9","3","0.38","0.3","","2"
"3309","Friarbots","","1640","1596","26.5","8.1","15.9","2.6","0.48","0.22","","3"
"6995","NOMAD","","1690","1628","30.5","11.8","15.5","3.3","0.27","0.19","","4"
"4141","Monarch Robotics","","1621","1584","24.9","8.1","15.5","1.3","0.46","0.03","","5"
"2485","Overclocked","","1714","1649","32.5","10.9","19.1","2.6","0.57","0.16","","6"
"3476","Code Orange","","1703","1638","31.6","13","15.6","3","0.27","0.13","","7"
"5835","Sage Hill Robotics","","1517","1517","16.4","8","6.9","1.4","0.18","-0.11","","8"
"7415","Jaguar Robotics Sponsored B...","","1599","1570","23.1","7.7","13.9","1.5","0.36","0.03","","9"
"9037","HHS Black Ops","","1555","1542","19.5","9.2","9.8","0.6","0.32","-0.05","","10"
"6560","Charging Champions","","1628","1588","25.5","8.7","12.2","4.6","0.27","0.19","","11"
"9271","Cyber Porpoises","true","1577","1556","21.3","5.5","13.4","2.4","0.16","0.16","","12"
"1967","The Janksters","","1551","1539","19.2","5.4","12.2","1.6","0.12","-0.03","","13"
"4984","Bullseye","","1458","1472","11.5","5.6","4.5","1.5","0.03","0.25","","14"
"7042","Poly Rabbotics","","1639","1595","26.4","11.1","12.7","2.6","0.26","0.02","","15"
"8033","Highlander Robotics","","1738","1676","34.5","11.3","22.6","0.6","0.55","-0.05","","16"
"4415","EPIC Robotz","","1672","1616","29.1","11.1","17.6","0.3","0.33","0.26","","17"
"4079","Quantum Leap","","1612","1578","24.2","7","16.4","0.8","0.4","0.03","","18"
"4","Team 4 ELEMENT","","1577","1556","21.4","7.3","12.9","1.1","0.17","-0.03","","19"
"4276","Surf City Vikings","","1531","1526","17.6","4","11.9","1.8","0.07","0.07","","20"
"5924","Golden Gate Robotics","","1576","1555","21.2","8.7","12","0.5","0.15","-0.05","","21"
"6220","The Golden Griffins","true","1606","1574","23.7","6.3","16.3","1.1","0.33","-0.07","","22"
"589","Falkon Robotics","","1598","1569","23","8.4","12.1","2.5","0.09","0.12","","23"
"9505","Best of Tech","","1448","1463","10.7","2.3","8.1","0.3","0.14","0.01","","24"
"4160","The RoBucs","","1525","1522","17.1","7.1","8.1","1.9","0.14","0.02","","25"
"5285","Sea Kings Robotics","","1529","1525","17.4","4.8","12.4","0.2","0.19","0.03","","26"
"8521","CyberLions","","1454","1469","11.2","2.8","7.4","1","0.1","-0.01","","27"
"7607","The Blackbirds","true","1406","1421","7.3","3.4","2.5","1.4","0.06","-0.03","","28"
"4470","TiGears","true","1458","1472","11.6","5.3","5.7","0.6","0","-0.15","","29"
"5805","SMbly Required","","1446","1462","10.6","2.7","6.8","1.1","0.08","-0.04","","30"
"8805","NKST36","true","1406","1420","7.3","1.5","5.7","0.1","-0.03","-0.07","","31"
"9772","Titans Robotics","true","1465","1478","12.1","3.9","6.2","2.1","-0.05","-0.05","","32"
"8600","Kernel Panic","true","1447","1462","10.6","4.6","5.3","0.8","-0.07","-0.16","","33"
"9301","PrepaTec Chihuahua - MechRams","","1448","1463","10.7","3.1","6.1","1.6","0.03","-0.16","","34"
"3473","Team Sprocket","","1463","1477","12","4.5","7","0.5","0.09","-0.12","","35"
"4619","HawkBots","true","1482","1492","13.6","5.3","7.6","0.8","0.08","-0.13","","36"
"867","Absolute Value","true","1425","1441","8.8","4","3.8","1","-0.13","-0.16","","37"
"3295","STEMdroids","true","1405","1420","7.2","4.3","1.6","1.3","-0.01","-0.06","","38"
"4964","Roosevelt Robotics","true","1435","1451","9.7","3.6","5.1","1","0.15","-0.04","","39"
"3952","Troy Robotics","true","1500","1505","15","7","6.2","1.9","0.14","-0.11","","40"
"9520","Rock-it Robotics","","1405","1420","7.2","2.5","4.2","0.5","0.06","-0.03","","41"
"5124","West Torrance Robotics","","1444","1460","10.4","3.8","6","0.6","0.06","-0.1","","42"
"812","The Midnight Mechanics","","1470","1482","12.6","4.3","4.9","3.4","0.04","0.05","","43"
"7447","Rōnin Robotics","true","1411","1426","7.7","3.3","3.2","1.2","-0.06","-0.14","","44"
"9696","Hami NASA_Yankatrons","true","1372","1379","4.5","1.2","1","2.4","-0.15","0.15","","45"
"3020","SMbld","true","1394","1406","6.3","1.8","2.9","1.6","-0.03","-0.05","","46"
"4999","Momentum","","1402","1416","7","2.6","2.2","2.2","-0.13","-0.14","","47"
"5500","Jaguars Robotics & ROVs","true","1375","1383","4.7","2.8","2.4","-0.4","-0.18","0","","48"
