"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"6036","Peninsula Robotics","true","1732","1669","34","13","19.3","1.8","0.46","-0.04","","1"
"4414","HighTide","true","1629","1589","25.6","6.8","14.2","4.6","0.23","0.25","","2"
"4481","Team Rembrandts","true","1676","1618","29.4","14","12.5","3","0.42","0.06","","3"
"4201","The Vitruvian Bots","true","1566","1549","20.4","7.3","10.5","2.6","0.19","0.31","","4"
"2102","Team Paradox","true","1584","1561","21.9","6.6","13.7","1.6","0.26","0.11","","5"
"2485","Overclocked","true","1615","1580","24.4","12.8","9.3","2.3","0.25","0.18","","6"
"3647","Millennium Falcons","true","1635","1593","26.1","11.1","14.1","0.9","0.28","-0.04","","7"
"973","Greybots","true","1602","1572","23.4","5.3","16.7","1.3","0.41","-0.04","","8"
"1197","TorBots","true","1529","1525","17.4","6.4","8.3","2.6","0.22","-0.03","","9"
"5199","Robot Dolphins From Outer S...","true","1572","1553","20.9","7.7","8.6","4.6","0.07","0.17","","10"
"5137","Iron Kodiaks","true","1441","1457","10.2","3.9","4.8","1.5","-0.03","0.34","","11"
"5419","Berkelium","true","1622","1584","25","8","13","4","0.14","0.05","","12"
"7157","μBotics","true","1567","1550","20.5","7.4","10.7","2.4","0.18","0.18","","13"
"9635","Cyber Rabbit","true","1424","1440","8.8","4.8","3.5","0.5","-0.08","-0.07","","14"
"2710","JetStream","true","1479","1489","13.3","4.1","7.2","2","0.06","0.22","","15"
"9408","Warbots","true","1593","1566","22.6","8.8","11.1","2.8","0.19","-0.04","","16"
"4415","EPIC Robotz","true","1531","1526","17.5","4.9","11.8","0.8","0.17","0.05","","17"
"2429","THE BLOCKHEADS","true","1457","1471","11.5","4","6.9","0.6","0.04","-0.05","","18"
"9520","Rock-it Robotics","true","1397","1411","6.6","2.5","3.7","0.3","0.03","0.07","","19"
"2839","Daedalus","true","1419","1435","8.4","2.5","3.9","2","0.15","0.03","","20"
"1572","The Hammer Heads","true","1478","1488","13.2","3.7","8.1","1.4","0.08","-0.05","","21"
"2658","Σ-Motion","true","1463","1477","12","4.4","6.2","1.4","-0.07","0.04","","22"
"3128","The Aluminum Narwhals","true","1608","1575","23.8","9","13.3","1.5","0.07","0.1","","23"
"4","Team 4 ELEMENT","true","1512","1514","16","5.9","9.3","0.9","0.04","0.07","","24"
"1148","Harvard Westlake Robotics","true","1491","1498","14.3","1.7","11.8","0.7","0.24","-0.14","","25"
"2543","TitanBot","true","1427","1443","9","0.8","7.5","0.7","0.06","-0.12","","26"
"7777","Septobots","true","1406","1421","7.3","1.9","4.7","0.8","-0.13","0.05","","27"
"498","The Cobra Commanders","true","1524","1522","17","4.6","11","1.5","0.23","-0.08","","28"
"9538","Stallions","true","1379","1388","5.1","2.9","2","0.1","0.02","-0.04","","29"
"6658","Rockbotics","true","1387","1399","5.8","0.4","3.9","1.5","-0.14","0.14","","30"
"696","Circuit Breakers","true","1552","1540","19.3","7.1","11.4","0.8","0.11","-0.13","","31"
"3255","SuperNURDs","true","1490","1498","14.2","1.7","12.1","0.4","0.11","-0.12","","32"
"8020","CyberpunK","true","1426","1442","8.9","3.5","4.4","1","0.09","-0.02","","33"
"3473","Team Sprocket","true","1430","1446","9.3","3.3","4.7","1.3","0.03","0.07","","34"
"8119","TigerBotics","true","1435","1451","9.7","2.5","6.2","1.1","-0.02","-0.03","","35"
"4501","Humans","true","1397","1411","6.6","4.2","1.5","0.9","-0.13","0.05","","36"
"8891","Wild Raccoons","true","1339","1335","1.8","0.3","-0.1","1.6","-0.06","-0.03","","37"
"1165","Team Paradise","true","1350","1351","2.7","1.8","0.5","0.5","-0.06","0.04","","38"
"8006","The Phantoms","true","1363","1368","3.8","2.1","1.6","0.1","-0.03","0.06","","39"
"5124","West Torrance Robotics","true","1432","1449","9.5","3.7","5.6","0.2","0.04","-0.12","","40"
"9452","LHS Steel Stingers","true","1476","1487","13.1","3.4","9.1","0.7","-0.01","0","","41"
"9505","Best of Tech","true","1430","1446","9.3","2.7","6.4","0.2","0.04","-0.13","","42"
"3328","NoHoRobo","true","1384","1395","5.5","0.6","2.7","2.2","-0.17","0.14","","43"
"4322","Clockwork","true","1414","1430","8","2.9","4.4","0.7","0.02","-0.04","","44"
"3512","Spartatroniks","true","1486","1495","13.9","7.3","4.8","1.8","-0.02","-0.13","","45"
"980","ThunderBots","true","1398","1412","6.7","3.1","2.3","1.2","-0.13","-0.02","","46"
"3863","Pantherbotics","true","1388","1400","5.8","2.7","2.2","0.9","-0.04","-0.04","","47"
"3759","SMARTBOTS","true","1409","1424","7.5","3.7","2.6","1.2","-0.12","-0.02","","48"
"1159","Ramona Rampage","true","1337","1333","1.6","1.2","1.3","-0.8","-0.11","-0.05","","49"
"6764","Flash Drives","true","1338","1335","1.7","2.1","-0.7","0.4","-0.14","-0.13","","50"
