event,team_num,norm_epa
2025caav,4415,1730
2025caav,6560,1612
2025caav,399,1585
2025caav,3476,1636
2025caav,846,1655
2025caav,10213,1533
2025caav,2543,1603
2025caav,294,1631
2025caav,2637,1564
2025caav,7157,1594
2025caav,7042,1558
2025caav,4419,1597
2025caav,7709,1616
2025caav,1700,1494
2025caav,3669,1576
2025caav,4123,1615
2025caav,5285,1538
2025caav,7447,1444
2025caav,5199,1696
2025caav,980,1567
2025caav,5012,1557
2025caav,22,1460
2025caav,6072,1504
2025caav,3993,1494
2025caav,1160,1551
2025caav,3952,1501
2025caav,3408,1500
2025caav,687,1532
2025caav,5835,1493
2025caav,599,1571
2025caav,5869,1454
2025caav,2584,1549
2025caav,6060,1387
2025caav,1515,1526
2025caav,691,1464
2025caav,8521,1474
2025caav,7607,1401
2025caav,2404,1509
2025caav,9471,1451
2025caav,3925,1410
2025capt,1678,1877
2025capt,1323,2004
2025capt,604,1816
2025capt,3478,1740
2025capt,2489,1504
2025capt,1967,1579
2025capt,1072,1618
2025capt,670,1618
2025capt,3256,1620
2025capt,840,1579
2025capt,6665,1526
2025capt,5104,1571
2025capt,6619,1535
2025capt,5274,1540
2025capt,2473,1543
2025capt,852,1526
2025capt,1836,1568
2025capt,9777,1498
2025capt,841,1604
2025capt,7528,1460
2025capt,6962,1553
2025capt,4698,1559
2025capt,3598,1532
2025capt,7137,1526
2025capt,2659,1548
2025capt,6662,1523
2025capt,8404,1450
2025capt,9143,1548
2025capt,7419,1582
2025capt,4135,1499
2025capt,9125,1468
2025capt,7413,1461
2025capt,7401,1426
2025capt,10615,1437
2025capt,8006,1437
2025capt,9114,1495
2025capt,5430,1430
2025capt,649,1457
2025capt,7667,1527
2025capt,10339,1451
2025camb,1678,1674
2025camb,581,1651
2025camb,604,1668
2025camb,3045,1564
2025camb,4481,1667
2025camb,5419,1560
2025camb,2813,1554
2025camb,9584,1493
2025camb,2473,1547
2025camb,1671,1550
2025camb,3189,1510
2025camb,5104,1497
2025camb,1458,1478
2025camb,9114,1463
2025camb,9470,1540
2025camb,972,1511
2025camb,10339,1425
2025camb,5274,1431
2025camb,192,1440
2025camb,7413,1477
2025camb,6506,1421
2025camb,2073,1468
2025camb,2035,1467
2025camb,5480,1453
2025camb,7777,1402
2025camb,5924,1389
2025camb,5760,1424
2025camb,3257,1498
2025camb,8048,1526
2025camb,852,1427
2025camb,115,1462
2025camb,6962,1467
2025camb,3970,1453
2025camb,253,1403
2025camb,6884,1385
2025cabe,254,1835
2025cabe,8033,1743
2025cabe,4270,1762
2025cabe,972,1631
2025cabe,5507,1651
2025cabe,5419,1648
2025cabe,6238,1626
2025cabe,199,1494
2025cabe,4669,1513
2025cabe,6059,1498
2025cabe,1868,1538
2025cabe,6418,1590
2025cabe,5171,1579
