"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1678","Citrus Circuits","","1889","1792","85","20.1","55.3","9.6","0.7","0.6","0.6","1"
"254","The Cheesy Poofs","true","1872","1776","82.5","19.7","51.8","11","0.52","0.35","0.6","2"
"6665","C-Otters","true","1534","1528","32.7","4.9","18","9.8","0.35","0.07","0.6","3"
"4698","Raider Robotics","true","1594","1564","41.5","13","23.2","5.3","0.54","-0.1","0.4","4"
"2135","Presentation Invasion","true","1583","1557","39.9","13.5","24.8","1.6","0.39","0.02","0.1","5"
"4522","Team SCREAM","","1745","1656","63.7","13.2","47.1","3.4","0.54","0.15","0.2","6"
"5499","Bearium","true","1536","1529","32.9","7.1","23","2.8","0.23","0.1","0.1","7"
"2288","Hydra Robotics","true","1596","1565","41.8","5.9","33.6","2.4","0.37","0","0.1","8"
"3189","Circuit Breakers","","1529","1524","31.9","5.9","23.4","2.6","0.58","-0.05","0.1","9"
"1671","Buchanan Bird Brains","","1635","1589","47.6","11.5","29.6","6.6","0.29","0.04","0.4","10"
"2073","EagleForce","","1532","1526","32.4","10.7","19.1","2.6","0.3","0.12","0.2","11"
"8768","CTEC Titans","","1530","1525","32.1","6","24.3","1.9","0.26","0.02","0.1","12"
"10212","Circuit Bakers","true","1435","1454","18.1","4.3","12.7","1.1","0.08","-0.09","0.1","13"
"5171","Deus Ex Machina","true","1553","1539","35.5","8.3","19.4","7.8","0.45","-0.16","0.5","14"
"5419","Berkelium","","1641","1592","48.5","7.2","34.9","6.3","0.22","0","0.3","15"
"2204","Rambots","true","1544","1534","34.2","10.4","20.7","3.1","0.48","-0.09","0.2","16"
"7157","μBotics","","1585","1559","40.2","9.3","26.1","4.8","0.43","0.11","0.3","17"
"3598","SEStematic Eliminators","","1560","1544","36.5","8.8","22.5","5.3","0.53","-0.02","0.4","18"
"9114","Rotationaries","","1440","1458","18.8","4","13.8","0.9","0.21","-0.14","0","19"
"5458","Digital Minds","true","1510","1512","29.2","4","22.6","2.6","0.18","0.01","0.1","20"
"972","Iron Claw","","1556","1541","36","8.2","20.6","7.3","0.35","-0.13","0.4","21"
"3257","Vortechs","","1505","1509","28.4","2.9","22.5","3","0.02","-0.07","0.2","22"
"6981","Clockwork Concord","true","1437","1456","18.4","3.4","14.3","0.8","0.18","-0.08","0","23"
"3482","Arrowbotics","true","1588","1561","40.6","8.9","31.1","0.7","0.42","0","0","24"
"9400","BagelBytes","true","1496","1502","27","2.6","23","1.5","0.03","-0.15","0.1","25"
"701","RoboVikes","true","1468","1482","23","2.8","17.9","2.3","0.01","0.02","0.1","26"
"4643","Butte Built Bots","true","1431","1450","17.5","5.7","10.6","1.2","0.22","-0.15","0.1","27"
"7137","Project 212","true","1482","1493","25.1","5.3","19.4","0.4","0.17","0.02","-0.1","28"
"6662","FalconX","true","1465","1480","22.5","3.2","18.7","0.7","0.18","-0.01","0","29"
"4135","Iron Patriots","true","1472","1485","23.5","4.4","19","0.1","0.08","-0.07","-0.1","30"
"5274","Wolverine Robotics","","1439","1458","18.7","4.5","14.4","-0.2","0.17","-0.05","-0.2","31"
"9125","Mechanical Magicians","true","1439","1457","18.6","5.8","11.2","1.6","0.37","-0.08","0","32"
"7528","Nuts and Bolts","true","1432","1451","17.7","3.6","11.8","2.4","0.11","-0.07","0","33"
"199","Deep Blue","true","1428","1447","17","4.1","12.1","0.8","-0.03","-0.16","0","34"
