"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"3970","Duncan Dynamics","","1862","1766","81","18.5","52.5","9.9","0.33","0.32","0.5","1"
"973","Greybots","","1718","1637","59.7","17.1","34.5","8.1","0.61","0.34","0.4","2"
"1072","Harker Robotics","","1737","1650","62.6","19.3","35.8","7.6","0.42","0.38","0.4","3"
"3512","Spartatroniks","","1656","1601","50.6","6.5","36.2","7.9","0.4","0.14","0.4","4"
"1671","Buchanan Bird Brains","","1714","1635","59.2","16.1","36.8","6.3","0.39","0.16","0.4","5"
"1197","TorBots","","1871","1775","82.3","23.4","48.9","10","0.42","0.12","0.5","6"
"971","Spartan Robotics","","1800","1709","71.9","9.8","55.4","6.7","0.2","0.14","0.6","7"
"5137","Iron Kodiaks","","1590","1562","41","10.2","23.8","6.9","0.43","0.17","0.4","8"
"6657","Arborbotics","","1602","1569","42.7","11.2","26.7","4.8","0.4","0.15","0.2","9"
"9084","Octobots","","1756","1666","65.4","19.6","41","4.8","0.71","0.32","0.4","10"
"2288","Hydra Robotics","","1666","1607","52.1","9.1","37","6","0.4","0.04","0.3","11"
"4322","Clockwork","","1687","1619","55.2","14.1","36.4","4.7","0.3","0.08","0.2","12"
"6036","Peninsula Robotics","","1790","1700","70.4","18.7","50.1","1.6","0.54","0.47","0","13"
"2465","KauaiBots","","1568","1548","37.6","8.2","22.6","6.9","0.44","0.03","0.4","14"
"100","The Wildhats","","1613","1576","44.3","11.3","28.9","4.2","0.36","0.13","0.1","15"
"2073","EagleForce","","1650","1598","49.8","12","34.5","3.4","0.37","0.2","0.2","16"
"2135","Presentation Invasion","","1608","1572","43.5","13.7","27.4","2.4","0.37","0.1","0.1","17"
"5817","Uni-Rex","","1707","1631","58.2","11.2","43.6","3.4","0.53","0.1","0.2","18"
"4141","Monarch Robotics","","1612","1575","44.1","10.9","26.4","6.9","0.41","-0.06","0.3","19"
"5458","Digital Minds","","1596","1566","41.9","9.3","29.3","3.3","0.33","0.21","0.1","20"
"5665","FENERBAHÇE DOGUS SPARC","","1618","1579","45.1","7.7","34.8","2.7","0.52","0.39","0.2","21"
"7777","Septobots","","1438","1456","18.5","5.1","10.2","3.2","0.37","0.02","0.2","22"
"6884","Deep-Space Robotics","","1444","1462","19.4","6.1","10.6","2.7","0.35","-0.18","0.1","23"
"3473","Team Sprocket","","1547","1536","34.6","5.9","26.5","2.3","0.29","0.01","0.1","24"
"9584","Spartan Squared","","1525","1522","31.4","8.1","15.8","7.5","0.52","0","0.4","25"
"2643","Dark Matter","","1520","1518","30.6","2.3","26.8","1.5","0.16","0.01","0.1","26"
"6305","Stable Circuits","","1476","1488","24.1","5.2","17.5","1.3","0.21","0","0.2","27"
"751","barn2robotics","","1505","1508","28.4","7.1","19.1","2.2","0.28","0.16","0.1","28"
"2035","The Rockin' Bots","","1500","1505","27.6","8.5","18.5","0.7","0.37","0.08","-0.1","29"
"6191","RoboKryptonite","true","1455","1472","21","3.6","15.8","1.6","0.25","-0.04","0.1","30"
"8768","CTEC Titans","","1562","1545","36.8","6.1","28.8","2","0.17","0.2","0","31"
"10336","BHA Tigers","","1388","1401","11.2","3.6","7.2","0.4","0.17","-0.08","0","32"
"2367","Lancer Robotics","","1399","1414","12.7","3.6","7.2","1.9","0.13","-0.03","0.1","33"
"5089","Robo-Nerds","","1476","1488","24.1","6.6","15.7","1.9","0.3","-0.15","0.1","34"
"968","RAWC (Robotics Alliance Of ...","","1457","1473","21.3","4.8","10.3","6.2","0.31","-0.13","0.3","35"
"701","RoboVikes","","1511","1513","29.3","3.9","24.3","1.2","0.19","0.07","0","36"
"9706","R^3   (Redwood Ranger Robot...","true","1430","1449","17.4","3.9","11.7","1.8","0.07","-0.02","0.1","37"
"8585","Bombax Leopard","","1448","1466","20","2.7","15","2.4","0.05","-0.15","0.1","38"
"8840","Bay Robotics","","1433","1452","17.8","3.8","12.5","1.5","0.08","-0.07","0","39"
"10212","Circuit Bakers","","1414","1433","15","4.2","8.1","2.7","0.18","-0.16","0.2","40"
"9505","Best of Tech","","1418","1437","15.6","4.5","11.5","-0.3","0.19","-0.2","-0.1","41"
"8087","Cougar Pride Robotics","","1401","1417","13.1","1.7","8.8","2.6","-0.06","-0.14","0.1","42"
