"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"9408","Warbots","","1759","1669","65.8","17.9","41.3","6.6","0.35","-0.07","0.2","1"
"1197","TorBots","true","1798","1707","71.5","21.1","42.3","8.2","0.38","-0.12","0.5","2"
"7840","EMONER ROBOTICS","true","1590","1562","41","7.6","27.4","6","0.33","-0.02","0.3","3"
"696","Circuit Breakers","true","1665","1606","52","10.3","37.2","4.5","0.45","-0.01","0.2","4"
"294","Beach Cities Robotics","true","1578","1554","39.1","5.5","30","3.7","0.32","-0.12","0.2","5"
"1661","Griffitrons","","1558","1542","36.2","10.2","24.6","1.5","0.4","-0.19","0.2","6"
"4470","TiGears","true","1501","1506","27.9","4","17.1","6.8","0.38","-0.13","0.3","7"
"3882","Lunas","true","1563","1545","36.9","5.6","26.5","4.8","0.2","-0.12","0.2","8"
"599","The Robodox","true","1528","1524","31.8","8","21.8","2","0.29","-0.02","0.1","9"
"4322","Clockwork","true","1619","1579","45.2","9.4","34.1","1.7","0.11","-0.02","0.2","10"
"5857","Walnut Valley Robotics","true","1407","1424","13.9","4.4","6.4","3.2","0.32","-0.13","0.3","11"
"10424","ANKA ROBOTICS","true","1454","1471","20.8","5.6","13.1","2.1","0.35","-0.13","0","12"
"702","Bagel Bytes","","1616","1577","44.7","11","31.9","1.8","0.31","-0.15","0","13"
"1452","Omnicats","","1409","1427","14.3","4.3","7.2","2.9","0.34","-0.09","0.1","14"
"4201","The Vitruvian Bots","","1577","1554","38.9","8","25.4","5.6","0.31","0.09","0.4","15"
"10597","Iron Eagles","true","1409","1427","14.3","5.7","8.3","0.4","0.37","-0.13","0.1","16"
"980","ThunderBots","true","1504","1508","28.3","3","21.2","4.1","0.1","-0.12","0.1","17"
"597","The Wolverines","true","1496","1503","27.1","7.9","16.9","2.4","0.46","-0.12","0.1","18"
"2584","Flame of The West","","1558","1542","36.2","6","25.7","4.4","0.5","-0.15","0.3","19"
"4999","Momentum","","1510","1512","29.1","4.9","19.3","5","0.26","-0.17","0.2","20"
"6658","Rockbotics","","1395","1409","12.2","2.3","5","4.9","0.11","-0.17","0.3","21"
"2659","RoboWarriors","true","1478","1490","24.5","5.1","17.5","1.9","0.11","-0.12","0.1","22"
"1836","The MilkenKnights","true","1518","1517","30.4","3.9","25.6","0.9","0.1","0.07","0.1","23"
"5124","West Torrance Robotics","true","1483","1493","25.1","5.1","17.7","2.3","0.28","-0.04","0.1","24"
"1148","Harvard Westlake Robotics","true","1569","1549","37.9","6","27.5","4.4","0.24","-0.12","0.1","25"
"968","RAWC (Robotics Alliance Of ...","true","1427","1446","16.8","4.2","8.6","4","0.25","-0.12","0.2","26"
"5553","Robo'Lyon","true","1448","1466","20","1.6","16.5","2","0.06","-0.12","0","27"
"4964","Roosevelt Robotics","true","1412","1430","14.7","4.9","10.9","-1.2","0.13","-0.13","-0.2","28"
"10658","SEED Robotics","true","1439","1458","18.7","3.9","13.6","1.1","0.18","-0.02","0","29"
"5089","Robo-Nerds","true","1430","1449","17.3","5.8","10","1.6","0.21","-0.12","0.1","30"
"5669","Techmen","","1415","1434","15.2","2.1","11.9","1.2","-0.04","-0.17","0.1","31"
"3759","SMARTBOTS","","1504","1508","28.2","4.6","23.5","0.1","0.2","-0.07","-0.1","32"
"687","The Nerd Herd","true","1481","1492","24.9","6.4","15.6","2.9","0.2","-0.11","0.2","33"
"1515","MorTorq","true","1464","1479","22.4","5.4","13.2","3.8","0.21","-0.12","0.1","34"
"9615","Redlands Robotics","true","1446","1464","19.6","1.8","14.9","3","0.05","-0.13","0","35"
"6305","Stable Circuits","true","1422","1441","16.2","4.1","10.2","1.9","0.02","-0.12","0","36"
"1159","Ramona Rampage","","1381","1391","10.1","2.6","7.4","0.1","0.18","-0.16","0","37"
"6904","TeraWatts","","1370","1375","8.4","1.9","4.8","1.8","0.07","-0.18","0","38"
"6220","The Golden Griffins","true","1425","1444","16.6","3.3","12","1.3","0.02","-0.13","0.1","39"
"8861","06ANGORA","true","1404","1421","13.6","3.5","9.7","0.5","0.14","-0.13","-0.1","40"
"1759","Potatoes","true","1322","1300","1.4","1.8","-0.2","-0.3","0.07","-0.13","-0.2","41"
"9505","Best of Tech","true","1388","1400","11.1","3.3","8","-0.1","-0.08","-0.13","-0.1","42"
"8898","Royal Rebel Robotics","true","1304","1273","-1.2","-0.8","-0.4","0","-0.26","-0.13","-0.1","43"
