"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1678","Citrus Circuits","true","1764","1674","66.6","15.9","41.9","8.8","0.62","0.15","0.5","1"
"581","Blazing Bulldogs","true","1738","1651","62.7","12.3","40.6","9.8","0.44","0.05","0.5","2"
"604","Quixilver","true","1758","1668","65.7","14.4","47.8","3.4","0.37","0.4","0.1","3"
"3045","Gear Gremlins","true","1594","1564","41.4","11.9","26.5","3","0.37","0.11","0.2","4"
"4481","Team Rembrandts","true","1756","1667","65.4","13.9","46.2","5.4","0.36","0.04","0.2","5"
"5419","Berkelium","true","1588","1560","40.6","6","28.3","6.3","0.19","-0.13","0.4","6"
"2813","Gear Heads","true","1577","1554","39","6.8","23.4","8.8","0.15","-0.06","0.5","7"
"9584","Spartan Squared","true","1483","1493","25.1","6.3","11.3","7.5","0.39","0.01","0.3","8"
"2473","Goldstrikers","true","1566","1547","37.3","4.6","24.9","7.8","0.23","0.03","0.4","9"
"1671","Buchanan Bird Brains","true","1571","1550","38.1","6.5","25","6.6","0.24","-0.15","0.4","10"
"3189","Circuit Breakers","true","1507","1510","28.7","6.2","20","2.5","0.43","-0.07","0.1","11"
"5104","BreakerBots","true","1488","1497","25.8","7.1","11.4","7.3","0.34","0.04","0.4","12"
"1458","Red Tie Robotics","true","1463","1478","22.2","7","13.2","2","0.46","0.03","0.1","13"
"9114","Rotationaries","true","1444","1463","19.5","5.7","12","1.8","0.17","-0.16","0.2","14"
"9470","Ctrl-Alt-Defeat","true","1554","1540","35.7","11.7","23.7","0.2","0.22","-0.06","0","15"
"972","Iron Claw","true","1508","1511","28.9","4.9","14.1","9.8","0.32","-0.14","0.6","16"
"10339","BrainShift","true","1408","1425","14.1","3.4","8.6","2.1","0.19","-0.16","0.2","17"
"5274","Wolverine Robotics","true","1413","1431","14.8","3.6","11.7","-0.5","0.22","-0.06","-0.1","18"
"192","GRT","true","1421","1440","16","5.4","7.4","3.3","0.19","-0.08","0.1","19"
"7413","Plus Ultra","true","1461","1477","22","5.8","14.5","1.7","0.27","-0.16","0.1","20"
"6506","Steel Boot Robotics","true","1404","1421","13.5","4.3","7","2.2","0.18","-0.06","0.2","21"
"2073","EagleForce","true","1451","1468","20.4","4.9","13.1","2.3","0.22","0.1","0.2","22"
"2035","The Rockin' Bots","true","1450","1467","20.3","5.1","14.5","0.7","0.19","-0.05","-0.1","23"
"5480","FYRE","true","1434","1453","17.9","3.3","13.6","1","-0.04","-0.06","0","24"
"7777","Septobots","true","1389","1402","11.4","4.3","5.5","1.6","0.38","-0.06","0.1","25"
"5924","Golden Gate Robotics","true","1380","1389","9.9","2.6","4.7","2.7","-0.02","-0.14","0.2","26"
"5760","The Marinators","true","1407","1424","14","4.2","7.7","2.2","0.19","-0.05","0.1","27"
"3257","Vortechs","true","1489","1498","26.1","2.6","19","4.5","-0.03","0.03","0.3","28"
"8048","East Palo Alto Churrobots","true","1531","1526","32.2","4","28.7","-0.4","0.22","-0.06","0.1","29"
"852","ARC Robotics","true","1409","1427","14.3","3","11.1","0.2","0.31","-0.15","0","30"
"115","MVRT","true","1444","1462","19.4","3.9","11.9","3.6","0.19","-0.14","0.2","31"
"6962","Antares","true","1450","1467","20.3","2.4","17.7","0.2","0.01","0.03","-0.1","32"
"3970","Duncan Dynamics","true","1434","1453","17.9","3.4","13.5","1","0.15","-0.14","-0.1","33"
"253","Boba Bots","true","1390","1403","11.5","3.2","6","2.4","0.23","-0.15","0","34"
"6884","Deep-Space Robotics","true","1377","1385","9.5","1.8","7.2","0.5","0.12","-0.15","0","35"
