"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1678","Citrus Circuits","","1981","1877","98.6","24.4","62.1","12.1","0.75","0.75","0.7","1"
"1323","MadTown Robotics","","2119","2004","118.9","28.5","79.4","10.9","0.62","0.8","0.7","2"
"604","Quixilver","","1916","1816","88.9","22.4","60.5","6","0.46","0.64","0.3","3"
"3478","PrepaTec - LamBot","","1833","1740","76.8","18","48.2","10.7","0.64","0.48","0.7","4"
"2489","The Insomniacs","","1499","1504","27.5","6.8","18.5","2.2","0.24","0.12","0.1","5"
"1967","The Janksters","","1618","1579","45.1","9.3","34.2","1.6","0.36","0.32","0.2","6"
"1072","Harker Robotics","true","1684","1618","54.8","14.3","33.9","6.6","0.26","0.26","0.3","7"
"670","Homestead Robotics","","1685","1618","54.9","10.5","38","6.4","0.47","0.41","0.4","8"
"3256","WarriorBorgs","","1687","1620","55.2","11","33.8","10.4","0.35","0.18","0.5","9"
"840","Aragon Robotics Team","","1619","1579","45.2","7.1","30.7","7.5","0.29","0.21","0.5","10"
"6665","C-Otters","","1532","1526","32.3","5.4","19.7","7.2","0.5","0.08","0.6","11"
"5104","BreakerBots","","1605","1571","43.1","7.7","27.4","8","0.34","0.15","0.4","12"
"6619","GravitechX","","1546","1535","34.5","4","27.5","3","0.45","0.15","0","13"
"5274","Wolverine Robotics","","1555","1540","35.8","7.3","27.5","0.9","0.39","0.1","-0.1","14"
"2473","Goldstrikers","","1560","1543","36.5","5.9","23.8","6.8","0.34","0.13","0.5","15"
"852","ARC Robotics","","1531","1526","32.3","5.7","25","1.6","0.4","0.12","0","16"
"1836","The MilkenKnights","","1600","1568","42.3","6.1","31.4","4.8","0.26","0.18","0.3","17"
"9777","Knights of the Lab Table","","1490","1498","26.2","4.3","19.3","2.7","0.33","-0.02","0.2","18"
"841","The BioMechs","","1661","1604","51.4","9","35.6","6.9","0.35","0.11","0.4","19"
"7528","Nuts and Bolts","","1441","1460","19","5.2","11.4","2.4","0.33","-0.01","0","20"
"6962","Antares","","1575","1553","38.7","10.3","27.3","1.1","0.25","0.17","0","21"
"4698","Raider Robotics","","1586","1559","40.3","15.3","21.4","3.6","0.59","0.16","0.3","22"
"3598","SEStematic Eliminators","","1542","1532","33.8","9.6","17.6","6.6","0.57","-0.02","0.5","23"
"7137","Project 212","","1532","1526","32.3","5.8","24.7","1.8","0.15","0","0","24"
"2659","RoboWarriors","","1568","1548","37.7","7.5","29.1","1.1","0.27","-0.02","0","25"
"6662","FalconX","","1526","1523","31.6","3.1","26.9","1.6","0.22","0.06","0.1","26"
"8404","SKYWALKERS","","1431","1450","17.5","4.6","10.7","2.2","0.01","-0.12","0","27"
"9143","Armor Robotics","","1567","1548","37.5","8.2","27.9","1.4","0.28","0.16","0","28"
"7419","TECH Support","","1624","1582","45.9","11","34.9","-0.1","0.3","0.17","-0.1","29"
"4135","Iron Patriots","","1491","1499","26.3","5.8","18.5","2","0.24","0.09","0","30"
"9125","Mechanical Magicians","","1451","1468","20.4","5.4","12.4","2.6","0.44","-0.1","0.1","31"
"7413","Plus Ultra","","1443","1461","19.2","4.7","12.4","2.1","0.26","-0.06","0","32"
"7401","DevTech117","true","1408","1426","14.2","4.2","9.3","0.7","0.1","-0.07","0.1","33"
"10615","Spartan110","true","1418","1437","15.6","4.5","10.1","1","0.13","-0.03","0","34"
"8006","The Phantoms","","1418","1437","15.6","3.3","9.9","2.5","-0.03","-0.13","0.1","35"
"9114","Rotationaries","","1485","1495","25.5","5","20.2","0.3","0.31","-0.04","0","36"
"5430","Pirate Robolution","","1412","1430","14.8","4.8","7.5","2.6","-0.03","-0.02","0","37"
"649","MSET Fish","","1438","1457","18.5","6.1","10.5","2","0.09","-0.09","0.1","38"
"7667","OtterBots","","1533","1527","32.5","5.2","26.5","0.8","0.2","0.07","0.1","39"
"10339","BrainShift","","1432","1451","17.7","3.8","11.4","2.5","0.23","-0.11","0.1","40"
