"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"5940","BREAD","","2016","1909","103.6","25","68.6","10.1","0.61","0.71","0.7","1"
"8033","Highlander Robotics","","1764","1674","66.6","20.5","38.3","7.8","0.53","0.35","0.6","2"
"840","Aragon Robotics Team","","1587","1560","40.5","3.9","28.7","8","0.09","0.06","0.4","3"
"3970","Duncan Dynamics","","1706","1631","58","13.7","37.9","6.4","0.3","0.05","0.3","4"
"6036","Peninsula Robotics","","1730","1645","61.6","18.2","42.4","1","0.5","0.51","0","5"
"4159","CardinalBotics","","1583","1558","40","10.4","27.1","2.5","0.47","0.05","0.3","6"
"8852","Drew Robotics","true","1626","1583","46.3","10.7","33.7","1.9","0.53","0.15","0.2","7"
"3256","WarriorBorgs","","1600","1568","42.4","8.2","28.1","6.1","0.32","-0.08","0.4","8"
"7636","Robomania","","1517","1517","30.2","5.9","22.6","1.7","0.22","0","0.1","9"
"846","The Funky Monkeys","","1585","1559","40.1","5.7","32.7","1.7","0.28","-0.09","0.1","10"
"114","Eaglestrike","","1571","1550","38.1","10.1","25.7","2.3","0.38","0.04","0.1","11"
"5104","BreakerBots","","1534","1528","32.7","6.9","19.2","6.7","0.28","0.08","0.3","12"
"5507","Robotic Eagles","true","1591","1562","41.1","12.7","22.7","5.7","0.44","-0.03","0.2","13"
"4904","Bot-Provoking","","1475","1487","23.9","6.4","15.7","1.8","0.29","-0.07","0","14"
"7667","OtterBots","true","1532","1526","32.4","5.8","24.9","1.7","0.23","0.16","0.1","15"
"9038","SF UNITY","true","1581","1556","39.6","12.8","25.3","1.5","0.44","0.27","0.1","16"
"5924","Golden Gate Robotics","","1463","1479","22.3","4.8","13.1","4.3","0.22","-0.13","0.3","17"
"10523","Singularity Robotics","true","1702","1628","57.4","11.1","40.9","5.5","0.38","0.06","0.2","18"
"1458","Red Tie Robotics","","1462","1477","22","5.9","14.6","1.5","0.52","0.03","0.1","19"
"1868","Space Cookies","","1509","1512","29.1","6.6","20","2.5","0.31","-0.15","0.2","20"
"4765","PWRUP","true","1543","1533","34","5.3","26.8","1.8","0.17","-0.01","0","21"
"5817","Uni-Rex","","1589","1561","40.8","9.9","28","2.8","0.45","-0.11","0.2","22"
"5728","MC2","true","1397","1412","12.5","2.9","8.7","0.9","0.15","-0.11","0","23"
"841","The BioMechs","true","1547","1536","34.6","5.2","25.2","4.2","0.25","-0.08","0.2","24"
"4669","Galileo Robotics","true","1467","1481","22.8","5","15.7","2.1","0.17","0","0.1","25"
"5700","SOTA Cyberdragons","","1492","1500","26.5","7.6","17.4","1.6","0.17","-0.13","0","26"
"1280","Ragin' C-Biscuits","","1400","1415","12.9","2.9","9","1","0.06","-0.08","-0.1","27"
"8016","Eco Robotics","true","1503","1507","28.1","4.1","22.3","1.8","0.07","-0.15","-0.1","28"
"4186","Alameda Aztechs","true","1472","1485","23.5","6","14.6","2.9","0.19","-0.07","0.1","29"
"10064","HanniBAL","","1386","1397","10.8","3","6.2","1.6","-0.05","-0.18","0","30"
"2551","Penguin Empire","true","1471","1485","23.4","4","16.9","2.6","0.07","-0.16","0","31"
"8859","Bora Robotics","true","1389","1401","11.2","2.1","8.3","0.8","0.16","-0.21","0.1","32"
"7589","Lishan Blue Magpie","","1454","1471","20.9","3","16.9","1","0.15","-0.15","-0.1","33"
"10281","MechaWolves","true","1463","1479","22.3","5.2","14.4","2.6","0.22","-0.18","0.1","34"
"4255","Robodores","true","1437","1456","18.4","5.1","11","2.4","0.15","0.07","0.1","35"
"5430","Pirate Robolution","true","1377","1385","9.5","1.9","6","1.7","-0.13","-0.08","0.1","36"
"8840","Bay Robotics","true","1372","1378","8.8","2.7","3","3.1","0.04","-0.18","0.1","37"
"4973","Gator Gears","true","1437","1456","18.4","4","13.3","1.1","0.17","-0.16","-0.1","38"
"10390","GOOGIRL","","1416","1434","15.2","3","8.2","4","0.19","-0.03","0.2","39"
"6822","THE SHISHKABOTS","true","1408","1425","14.1","4.2","10","-0.2","0.13","-0.16","-0.1","40"
"6506","Steel Boot Robotics","","1403","1420","13.4","2.7","7.9","2.9","0.07","-0.07","0.2","41"
