"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"4481","Team Rembrandts","","1849","1755","79.1","19.8","50.1","9.3","0.51","0.13","0.4","1"
"4414","HighTide","","1808","1717","73.1","15.9","48.3","8.9","0.48","0.36","0.6","2"
"3863","Pantherbotics","","1674","1612","53.3","8.4","36","8.9","0.33","0.05","0.4","3"
"10698","Armathronics 15","true","1472","1485","23.5","4","13.7","5.9","0.27","-0.03","0.3","4"
"7426","PAIR OF DICE ROBOTICS","true","1608","1572","43.5","8.4","29.5","5.6","0.5","0.18","0.3","5"
"5026","Iron Panthers","true","1626","1583","46.2","14.3","26.4","5.5","0.42","-0.02","0.2","6"
"5012","Gryffingear","true","1545","1534","34.3","8","20.8","5.6","0.36","-0.13","0.2","7"
"3512","Spartatroniks","true","1557","1542","36","3.4","27.6","5","0.22","-0.15","0.1","8"
"971","Spartan Robotics","true","1681","1616","54.3","7.4","39.9","7","0.13","-0.01","0.5","9"
"9421","Nexus","true","1427","1446","17","4.6","13","-0.6","0.14","-0.05","-0.1","10"
"9772","Titans Robotics","","1407","1424","13.9","3.9","8.3","1.7","0.34","-0.17","0","11"
"5514","MavBots","true","1429","1448","17.1","6.1","8.8","2.2","0.25","-0.02","0.1","12"
"9084","Octobots","true","1550","1537","35","12.5","20.2","2.4","0.57","-0.11","0.1","13"
"10147","ArmBots","","1454","1471","20.9","6.2","14.5","0.3","0.5","-0.1","-0.2","14"
"1138","Eagle Engineering","true","1579","1555","39.3","5.1","28.1","6.2","0.3","-0.14","0.3","15"
"2429","THE BLOCKHEADS","true","1583","1557","39.9","5.8","31.8","2.3","0.28","-0.14","0.2","16"
"6479","AZTECH Robotics","true","1474","1487","23.9","5","15.8","3.1","0.12","-0.13","0.1","17"
"4","Team 4 ELEMENT","","1464","1479","22.4","2.6","18.1","1.7","0.06","-0.06","0.2","18"
"3256","WarriorBorgs","true","1481","1492","24.9","6.7","17","1.2","0.25","-0.14","0.2","19"
"1661","Griffitrons","","1508","1511","28.9","8.2","17.6","3.1","0.4","-0.17","0.2","20"
"4123","Tribe Robotics","true","1555","1541","35.8","8.7","25.8","1.3","0.08","-0.12","0.1","21"
"4079","Quantum Leap","","1559","1543","36.4","11.4","23.3","1.7","0.2","-0.09","0.1","22"
"10166","Thunder Vikes","true","1386","1398","10.9","4","5.6","1.3","0.18","-0.14","0.1","23"
"2637","Phantom Catz","true","1468","1482","23","5.7","15.9","1.3","0.08","-0.13","0","24"
"7419","TECH Support","true","1517","1517","30.2","5.5","21.6","3","0.28","-0.03","0.1","25"
"589","Falkon Robotics","true","1493","1500","26.6","6.2","12.3","8.2","0.03","-0.13","0.5","26"
"5136","MechaPirates","true","1480","1491","24.7","3.3","19.3","2.2","-0.06","-0.14","0","27"
"3880","Tiki Techs","true","1472","1485","23.5","6.5","14.7","2.3","0.28","-0.13","0.2","28"
"5700","SOTA Cyberdragons","true","1438","1457","18.6","4.4","12.7","1.5","0.11","-0.13","-0.1","29"
"4019","Mechanical Paradise","true","1354","1351","6.1","1.9","3","1.2","-0.06","-0.03","0.1","30"
"3328","NoHoRobo","true","1382","1392","10.3","2.7","5","2.5","0.11","-0.14","0.3","31"
"1622","Team Spyder","","1391","1405","11.6","2.2","7","2.5","-0.01","-0.17","0.1","32"
"7323","TriTron","true","1465","1480","22.5","3.7","15.1","3.8","0.06","-0.12","0.1","33"
"8404","SKYWALKERS","true","1446","1464","19.7","2.8","13.3","3.5","0.05","-0.13","0.1","34"
"3749","Team Optix","true","1407","1424","13.9","2.9","7.9","3.1","0.07","-0.12","0.1","35"
"6934","Scorps","true","1389","1402","11.3","4.3","8.1","-1.1","0.19","-0.13","0","36"
"4711","The Flying Aces","true","1379","1389","9.9","3.1","4.7","2.1","-0.07","0.04","-0.1","37"
"6000","Firehawk Robotics","true","1399","1415","12.8","5.1","4.9","2.8","0.09","-0.13","0.1","38"
"1868","Space Cookies","true","1406","1422","13.8","6.6","4.5","2.7","0.29","-0.13","0.2","39"
"6060","Circuit Serpents","true","1387","1400","11.1","3.5","5.6","1.9","0.17","-0.12","0","40"
"7327","Metal Jackets","true","1450","1468","20.3","3.6","14.9","1.8","0.1","-0.14","0.1","41"
"5869","QHHS Aqueducks","true","1398","1413","12.6","1.7","9.6","1.3","0.11","-0.14","0.1","42"
"8006","The Phantoms","true","1334","1320","3.2","2","0.7","0.5","-0.06","-0.14","0.1","43"
"4183","Bit Buckets","true","1426","1445","16.8","1.8","13.5","1.4","0.03","-0.12","0.1","44"
"6764","Flash Drives","true","1381","1391","10.1","2.5","6.3","1.3","-0.06","-0.13","0.1","45"
"6553","Roboticus","true","1379","1388","9.9","2.9","4.9","2.1","0","-0.13","0.1","46"
"8060","VHS Robotics","true","1360","1360","7","3.8","1.4","1.8","0.19","-0.13","0.2","47"
"4160","The RoBucs","true","1408","1425","14","2.6","9.9","1.5","-0.06","-0.12","0.1","48"
"5805","SMbly Required","","1501","1506","27.8","4.3","17.7","5.8","0.06","-0.08","0.3","49"
"8533","Rancho Reapers","true","1398","1413","12.6","2.2","8.4","1.9","0.09","-0.12","0","50"
"3925","Ventura Robotics","true","1379","1388","9.8","3.4","4.5","1.9","0.11","-0.12","0.2","51"
"1280","Ragin' C-Biscuits","true","1341","1332","4.3","2.9","0.3","1.1","0.13","-0.13","-0.1","52"
