event,team_num,fsm
2026caasv,294,182.34
2026caasv,687,189.07
2026caasv,846,208.65
2026caasv,2073,165.87
2026caasv,2659,140.98
2026caasv,4738,95.77
2026caasv,8119,132.54
2026caasv,696,97.83
2026caasv,7607,66.02
2026caasv,980,90.72
2026caasv,7419,91.38
2026caasv,4419,63.89
2026caasv,5012,100.2
2026caasv,2637,102.8
2026caasv,1622,71.19
2026caasv,3863,74.68
2026caasv,11096,27.63
2026caasv,3341,13.35
2026caasv,5869,44.72
2026caasv,6060,35.49
2026caasv,8768,57.03
2026caasv,6658,34.07
2026caasv,399,83.12
2026caasv,589,40.74
2026caasv,9706,41.89
2026caasv,691,35.54
2026caasv,3749,36.77
2026caasv,2543,46.04
2026caasv,1515,39.09
2026caasv,9615,62.44
2026caasv,9471,1.79
2026caasv,2839,2.34
2026caasv,1452,40.98
2026caasv,2404,31.26
2026cacac,5507,184.52
2026cacac,8,158.04
2026cacac,8048,134.14
2026cacac,2135,115.29
2026cacac,7137,65.99
2026cacac,6619,120.23
2026cacac,7667,124.85
2026cacac,3669,39.11
2026cacac,253,76.73
2026cacac,1967,68.87
2026cacac,1072,62.59
2026cacac,4159,121.37
2026cacac,5458,71.76
2026cacac,852,30.41
2026cacac,5274,40.27
2026cacac,1458,56.09
2026cacac,5728,31.21
2026cacac,8016,47.75
2026cacac,2141,40.47
2026cacac,751,22.65
2026cacac,8404,23.25
2026cacac,9114,18.47
2026cacac,701,43
2026cacac,5430,0.06
2026cacac,5924,36.21
2026cacac,6662,11.54
2026cacac,11463,37.56
2026cacac,11243,15.8
2026cacac,3189,60.09
2026cacac,8840,40.51
2026cacac,3482,2.08
2026cacac,2288,29.66
2026cacac,10212,11.36
2026cacac,7777,38.78
2026cacac,9125,11.9
2026caclv,1323,330.23
2026caclv,254,353.44
2026caclv,3970,133.34
2026caclv,1388,146.88
2026caclv,973,180.74
2026caclv,5700,55.3
2026caclv,766,51.65
2026caclv,114,106.45
2026caclv,840,109.84
2026caclv,8793,117.99
2026caclv,11296,40.99
2026caclv,971,95.12
2026caclv,6305,34.37
2026caclv,3925,35.93
2026caclv,5817,180.05
2026caclv,100,60.68
2026caclv,1671,83.66
2026caclv,8768,17.1
2026caclv,6657,65.35
2026caclv,2367,27.47
2026caclv,4765,48.35
2026caclv,9584,64.06
2026caclv,9706,5.9
2026caclv,6822,3.42
2026caclv,1351,67.32
2026caclv,4643,15.32
2026caetb,3256,255.43
2026caetb,972,203.54
2026caetb,4698,183.83
2026caetb,841,223.08
2026caetb,6962,222.97
2026caetb,5419,95.53
2026caetb,192,68.74
2026caetb,8852,113.35
2026caetb,5499,94.86
2026caetb,9400,112.46
2026caetb,6418,105.11
2026caetb,5171,88.97
2026caetb,10644,57.55
2026caetb,2473,41.65
2026caetb,10339,17.6
2026caetb,4904,37.97
2026caetb,1854,49.85
2026caetb,10281,73.1
2026caetb,10615,47.19
2026caetb,6918,66.03
2026caetb,1700,18.92
2026caetb,9038,51.83
2026caetb,4186,69.06
2026caetb,7245,29.47
2026caetb,11230,24.9
2026caetb,6814,50.43
2026caetb,2204,48.36
2026caetb,9111,38.97
2026caetb,4669,37.61
2026caetb,2551,28.31
2026caetb,8045,3.27
2026caetb,11274,19
2026caetb,10500,64.52
2026caetb,4255,3.48
2026caetb,4973,20.83
2026caetb,10221,59.29
2026caetb,10372,9.38
2026caetb,199,64.37
2026caetb,5027,12.09
2026cagle,6036,211.34
2026cagle,7415,192.84
2026cagle,3512,193.76
2026cagle,5026,233.99
2026cagle,6995,163.55
2026cagle,696,129.14
2026cagle,2659,131.33
2026cagle,3501,133
