num,rank,fsm,fuel,climb,auto,penalty,defense_score
294,1,182.34,177.96,1.66,35.26,1.95,0
687,2,189.07,184.34,2.11,36.32,2.84,0
846,3,208.65,202.82,0,37.23,6.96,0
2073,4,165.87,158.9,4.6,27.02,7.69,0
2659,5,140.98,134.38,1.01,26.86,0.17,0
4738,6,95.77,93.61,3.01,22.55,7.54,0
8119,7,132.54,129.07,4.33,18.32,-0.31,0
696,8,97.83,99.42,1.52,26.95,-2.21,0
7607,9,66.02,69.3,1.69,11.84,3.56,0
980,10,90.72,88.48,0.68,18.62,5.65,0
7419,11,91.38,88.66,4.03,29.28,6.96,0
4419,12,63.89,63.22,4.71,19.25,5.35,0
5012,13,100.2,93.78,5.96,21.41,2.73,0
2637,14,102.8,102.87,1.95,32.44,8.84,0
1622,15,71.19,77.23,1.58,15.09,2.52,0
3863,16,74.68,69.04,4.53,9.96,5.58,0
11096,17,27.63,29.77,1.23,-1.68,0.73,15.54
3341,18,13.35,5.79,8.02,14.82,-0.45,49.26
5869,19,44.72,43.54,2.01,7.2,-0.11,0
6060,20,35.49,34.81,4.65,12.17,1.16,8.8
8768,21,57.03,48.92,4.2,8.97,0.37,0
6658,22,34.07,35.74,1.34,3.43,4.19,27.11
399,23,83.12,77.88,2.41,12.22,-1.21,0
589,24,40.74,37.83,4.67,10.4,-0.04,14.88
9706,25,41.89,43.49,0,1.3,1.14,0
691,26,35.54,35.47,0,6.76,0.04,9.52
3749,27,36.77,36.83,0,13.71,3.63,14.97
2543,28,46.04,38.74,1.07,15.32,-1.15,-6.58
1515,29,39.09,39.11,1.26,5.27,2.09,1.11
9615,30,62.44,65.95,4,12.46,6.97,0
9471,31,1.79,7.28,2.89,8.63,2.89,25.5
2839,32,2.34,5.76,0.67,11.35,2.8,51
1452,33,40.98,34.83,1.15,12.72,-0.72,5.77
2404,34,31.26,29.48,2.41,2.9,-1.18,11.85
