num,rank,fsm,fuel,climb,auto,penalty,defense_score
5507,1,184.52,185.26,0,35.83,10.6,0
8,2,158.04,156.37,0,38.07,-1.7,0
8048,3,134.14,143.92,0,28.34,18.62,0
2135,4,115.29,118.33,0.67,19.66,10.04,0
7137,5,65.99,78.55,1.81,10.26,26.14,0
6619,6,120.23,125.62,0,25.84,9.84,0
7667,7,124.85,120.28,1.34,21.73,0.61,0
3669,8,39.11,38.76,0,12.19,0.09,1.25
253,9,76.73,82.67,1.64,10.05,7.87,0
1967,10,68.87,67.09,4,16.35,1.23,0
1072,11,62.59,64.15,2.76,19.9,7.79,0
4159,12,121.37,125.4,1.2,13.56,7.05,0
5458,13,71.76,73.52,0,18.21,-3.07,0
852,14,30.41,24.36,1.51,6.54,-3.86,9.67
5274,15,40.27,41.27,4.33,10.5,10.48,3.91
1458,16,56.09,56.4,0,10.74,8.03,0
5728,17,31.21,32.61,1.96,2.5,1.11,5.33
8016,18,47.75,42.22,0,12.73,-1.54,0
2141,19,40.47,40.13,2.64,14.76,4.15,6.37
751,20,22.65,29.09,0,5.86,10.13,24.58
8404,21,23.25,24.42,0,9.3,-2.67,24.99
9114,22,18.47,13.46,1.65,5.3,-3.28,16.99
701,23,43,38.79,0,11.43,-2.64,0
5430,24,0.06,-0.68,0.68,1.5,0.39,38.17
5924,25,36.21,38.68,0,11.31,-0.07,-1.47
6662,26,11.54,4.39,5.39,13.15,2.15,56.42
11463,27,37.56,34.33,0.73,8.03,3.96,6.19
11243,28,15.8,24.25,1.88,8.77,13.1,17.37
3189,29,60.09,59.4,0,10.36,-2.78,0
8840,30,40.51,45.73,0,7.4,4.21,6.64
3482,31,2.08,3.27,0,-0.16,3.07,15.92
2288,32,29.66,33.86,1.06,4.07,1.62,4.38
10212,33,11.36,12.03,0,3.1,2.66,11.55
7777,34,38.78,48.23,0.7,0.22,3.92,1.81
9125,35,11.9,11.63,1.79,8.24,0.71,14.49
