num,rank,fsm,fuel,climb,auto,penalty,defense_score
1323,1,330.23,323.06,0,58.96,6.55,0
254,2,353.44,361.89,2.84,70.69,18.6,0
3970,3,133.34,128.93,2.59,29.33,6.2,0
1388,4,146.88,141.26,1.33,34.52,7.89,0
973,5,180.74,192.14,0,54.64,22.44,0
5700,6,55.3,59.24,2.45,3.54,-2.86,0
766,7,51.65,50,3.7,7.07,9.57,0
114,8,106.45,106.88,0,25.15,4.18,0
840,9,109.84,95.87,2.44,17.78,2.54,0
8793,10,117.99,122.58,0,9.8,-2.42,0
11296,11,40.99,39.12,1.38,11.56,0.49,28.18
971,12,95.12,98.63,2.8,17.17,7.14,0
6305,13,34.37,37.08,0,6.84,3.44,20.11
3925,14,35.93,45.73,2.68,7.33,16.46,41.48
5817,15,180.05,178.85,2.7,40.66,1.81,0
100,16,60.68,68.07,2.61,7.46,8.53,0
1671,17,83.66,90.79,1.03,17.66,7.81,0
8768,18,17.1,18.16,0,-0.71,-1.03,67.54
6657,19,65.35,64.61,0.55,13.17,-1.75,0
2367,20,27.47,24.79,1.09,11.79,0.43,46.81
4765,21,48.35,35.68,6.62,21.66,1.01,-10.04
9584,22,64.06,65.53,1.29,9,12.33,0
9706,23,5.9,12.6,3.76,2.29,11.68,47.26
6822,24,3.42,9.19,1.05,4.95,4.24,44.17
1351,25,67.32,69.49,2.51,11.01,-0.06,0
4643,26,15.32,15.32,2.76,6.38,-2.21,71.74
