num,rank,fsm,fuel,climb,auto,penalty,defense_score
3256,1,255.43,243.8,3.12,70.95,-4.53,0
972,2,203.54,196.92,1.12,35.3,0.24,0
4698,3,183.83,187.38,0.67,52.46,17.28,0
841,4,223.08,212.72,0,19.22,-2.74,0
6962,5,222.97,212.85,0,22.07,3.51,0
5419,6,95.53,85.33,3.13,26.93,-1.64,0
192,7,68.74,61.33,1.68,11.33,-0.59,0
8852,8,113.35,119.24,1.33,27.5,10.3,0
5499,9,94.86,90.39,1.87,13.14,2.84,0
9400,10,112.46,114.11,0,17.97,7.36,0
6418,11,105.11,97.45,1.02,19.03,1.65,0
5171,12,88.97,85.45,4.93,22.76,5.8,0
10644,13,57.55,58.25,1.95,8.81,-1.52,0
2473,14,41.65,42.56,1.96,12.16,6.25,3.03
10339,15,17.6,20.18,1.02,13.92,4.96,43.16
4904,16,37.97,36.07,7.86,18.05,11.35,8.73
1854,17,49.85,50.31,0.79,9.3,-2.83,9.28
10281,18,73.1,82.86,0,7.67,2.28,0
10615,19,47.19,40.07,4.82,13.78,3.3,16.41
6918,20,66.03,59.96,4.69,16.78,4.25,0
1700,21,18.92,27.63,0,5.03,13.73,48.79
9038,22,51.83,42.45,5.14,23.32,0.54,0
4186,23,69.06,71.05,3.07,0.77,6.24,0
7245,24,29.47,25.22,2.79,6.13,0.09,20.2
11230,25,24.9,27.46,4.48,8.82,7.4,58.67
6814,26,50.43,46.31,1.92,10.66,2.09,0
2204,27,48.36,52.66,0,8.6,13.14,6.52
9111,28,38.97,39.02,0,13.94,3.5,13.56
4669,29,37.61,36.73,3.5,5.08,6.3,2.44
2551,30,28.31,35.74,0.67,4.41,3.08,27.18
8045,31,3.27,3.28,0,7.87,4.14,47.08
11274,32,19,34.05,1.23,8.99,17.56,23.42
10500,33,64.52,72.16,2.36,7.42,-1.26,0
4255,34,3.48,-2.13,0,2.47,3.08,95.92
4973,35,20.83,-2.9,0,-2.05,0.82,38.72
10221,36,59.29,60.34,0,7.18,-3.26,0
10372,37,9.38,13.05,3.42,4.27,5.6,25.14
199,38,64.37,52.11,4.58,7.45,-4.03,0
5027,39,12.09,15.63,0,-0.41,0.17,64.96
