num,rank,fsm,fuel,climb,auto,penalty,defense_score
6036,1,211.34,198.8,2.47,36.85,0.19,0
7415,2,192.84,191.2,1.25,45.41,7.18,0
3512,3,193.76,185.32,0,24.48,-0.43,0
5026,4,233.99,235.88,1.88,39.25,9.13,0
6995,5,163.55,157.5,1.71,40.19,10.86,0
696,6,129.14,125.92,0.72,23.3,3.87,0
2659,7,131.33,120.85,0.72,14.27,-3.59,0
3501,8,133,126.83,2.2,18.52,3.08,0
702,9,125.58,119.08,1.76,15.75,5.56,0
4964,10,38.4,41.78,0,15.82,-0.81,15.68
9084,11,120.5,122.93,0.66,15.72,3.22,0
4,12,84.16,86.03,2.04,8.23,3.87,0
7323,13,27.43,30.82,5.94,7.26,8.43,63.69
3255,14,110.68,117.89,3.68,27.5,18.76,0
2429,15,65.83,60.49,1.91,16.13,-0.11,0
6560,16,54.98,62.91,1.83,18.32,5.94,0
9520,17,56.1,51.62,2.3,16.52,-2.88,0
8033,18,70.25,65.27,4.22,15.03,3.5,0
1148,19,40.48,38.74,2.8,9.69,-1.99,14.47
6934,20,119.68,120.81,2.41,16.55,14.63,0
597,21,68.13,73.69,0.68,13.37,5.15,0
11024,22,33.4,32.77,2.71,14.87,5.8,29.3
9696,23,45.69,53.08,1.19,8.98,4.2,-3.18
2404,24,22.01,23.14,0,8.31,3.09,36.58
9505,25,38.89,40.48,1.76,11.95,1.84,21.45
3965,26,34.27,33.5,3.28,11.66,7.39,14.32
6000,27,42.5,47.65,3.16,7.98,3.04,-1.73
5089,28,88.54,95.42,3.97,10.51,13.79,0
10166,29,16.81,22.77,0,6.72,0.68,27.23
22,30,34.95,30.95,2.05,4.07,-2,9.87
8533,31,8.87,20.82,1.26,3.11,18.16,47.63
6658,32,17.92,22.25,2.24,1.43,3.65,56.8
3328,33,96.33,94.17,1.19,10.75,-0.46,0
10147,34,10.29,14.25,0,3.7,1.27,43.14
9772,35,16.92,13.55,0,1.55,-1.16,19.58
10936,36,14.03,14.65,1.87,6.89,-3.23,35.32
8060,37,51.06,50.5,0.78,12.8,1.51,5.6
