num,rank,fsm,fuel,climb,auto,penalty,defense_score
1678,1,389.9,373.8,1.86,79.4,2.28,0
604,2,174.45,170.19,4.31,35.98,6.2,0
9470,3,273.48,272.41,0.58,56.14,14.78,0
8793,4,66.23,69.59,4.31,11.42,11.13,0
3045,5,38.98,38.22,0.97,3.09,-0.65,31.36
971,6,66.11,58.19,1.12,14.45,1.67,0
9584,7,56.98,56.87,4.69,5.62,16.52,12.37
7419,8,102.9,99.88,0.96,12.88,2.74,0
3598,9,73.17,76.25,1.11,7.97,2.44,0
1857,10,54.87,56.85,1.13,13.98,13.61,0
6305,11,45.4,46.46,0,9.29,3.92,10.27
4171,12,64.66,66.38,0.97,7.1,-0.18,0
1458,13,21.26,25.09,0,4.51,5.1,22.86
3257,14,51.21,49.53,1.84,6.01,4.38,0
4990,15,44.53,42.75,0.98,5.05,-1.14,10.23
670,16,58.81,59.94,0,8.86,-5.99,0
5760,17,10.35,6.42,1.81,5.07,4.31,37.94
10059,18,19.8,31.92,1.35,2.37,14.72,46.4
10252,19,10.92,11.13,0,3.09,2.81,23.69
2473,20,21.82,22.12,2.47,3.93,0.23,29.42
6981,21,23.05,-4.72,0.61,-2.57,5.38,-1.1
852,22,29.85,26.48,1.42,8.54,1.46,31.04
1452,23,19.6,26.89,0,6.14,9.02,41.44
5924,24,41.91,49.95,1.4,3.1,11.15,30.87
7413,25,2.55,5.25,0,2.87,13.75,21.08
7607,26,18.56,20.24,1.41,1.48,5.76,23.95
