num,rank,fsm,fuel,climb,auto,penalty,defense_score
3476,1,266.32,264.67,0,51.87,8.7,0
9408,2,194.72,197.41,0.81,42.52,21.23,0
4201,3,97.62,99.45,0,24.53,8.35,0
4123,4,104.28,102.71,0,20.85,8.31,0
687,5,144.72,139.1,0,37.11,-3.8,0
4322,6,81.43,78.58,1.93,9.26,1.14,0
4,7,93.23,94.47,0,17.21,3.25,0
294,8,95.65,84.94,1.43,12.17,-0.85,0
1836,9,49.67,51.55,0,13.81,-0.42,0
1661,10,50.22,56.1,0.77,12.05,0.98,0
7230,11,63.36,64.22,2.8,17.8,2.42,0
2584,12,98.18,103.46,1.98,23.17,8.75,0
5137,13,48.5,67.1,0.77,15.31,33.55,0
4999,14,32.33,26.15,2.29,5.69,2.55,16.7
2710,15,60.01,66.07,0,8.9,5.91,0
1759,16,37.31,32.68,0,19.91,-0.91,17.97
11096,17,13.79,9.28,2.08,5.45,1.03,36.01
1197,18,67.1,67.59,0,18.07,8.79,0
980,19,41.4,49.07,0,11.67,6.56,19.39
6220,20,42.89,45.08,0,9.47,3.03,1.17
4964,21,37.64,42.65,0,5.11,8.84,-0.13
3408,22,69.57,74.95,0,12.79,0.49,0
4415,23,32.91,39.3,1.94,7.84,10.26,30.69
597,24,44.11,42.15,0,11.03,-2.44,0.03
3759,25,39.87,32.2,0.76,8.58,-1.81,0
6072,26,13.2,13.53,3.41,15.88,11.12,38.85
5089,27,72.67,71.34,0,9.34,-1.1,0
1159,28,30.1,35.38,0.79,12.29,8.3,13.05
5835,29,29.78,28.48,1.32,3.25,-0.68,10.08
5124,30,13.84,15.4,1.4,4.97,7.94,44.12
4501,31,35.89,38.29,0.87,3.8,3.66,-6.64
5669,32,16.52,14.24,1.98,9.36,3.39,25.5
5857,33,18.06,12.22,1.86,3.94,0.95,35.26
9505,34,3.41,3.81,0.7,1.75,0.39,26.55
4470,35,30.39,33.75,2.02,12.93,7.67,17.72
7042,36,38.65,32.05,4.39,10.44,2.91,0
8898,37,2.07,6.8,1.67,1.6,-1.71,29.18
1515,38,20.83,18.37,0,3.05,-2.19,25.79
6000,39,1.74,2.18,0,3.79,5.6,5
867,40,21.23,24.01,1.94,-0.96,-2.14,34.8
9696,41,19.68,19.43,0.7,6.64,0.26,18.48
6904,42,36.96,-3.66,0.81,4.11,-1.2,14.47
