num,rank,fsm,fuel,climb,auto,penalty,defense_score
254,1,379.96,371.5,0,81.23,17.79,0
9470,2,285.2,281.61,0,57.54,7.72,0
1323,3,360.98,352.66,0,80.27,6.23,0
6036,4,174.78,174.7,0,37.23,18.95,0
3045,5,282.41,255.38,1.55,50.18,-0.75,0
1678,6,232.85,222.67,4.6,53.27,13.65,0
972,7,182.68,167.77,0,30.35,-1.26,0
8,8,191.34,177.68,3.09,28.04,6.22,0
581,9,212.99,208,0,43.73,5.42,0
2813,10,209.46,201.4,0,32.58,2.55,0
2073,11,196.62,196.79,0,34.33,-1.83,0
114,12,132.99,131.37,0,19.16,-4.49,0
3256,13,227.92,216.31,0,55.95,7.65,0
5940,14,234.8,222.69,0,47.1,9.09,0
6238,15,142.42,151.89,0,26.48,14.94,0
3501,16,170.4,169.46,0,34.78,2.53,0
8048,17,175.14,171.95,0,36.83,-2.54,0
846,18,197.53,195.55,0,42.72,-2.1,0
4698,19,199.6,192.25,0.81,53.99,15.47,0
7419,20,145.13,142.42,0,22.66,4.46,0
971,21,125.43,119.68,0,15.31,3.2,0
3970,22,162.42,175.89,0,29.67,2.28,0
604,23,206.04,212.88,1.44,43.21,15.73,0
841,24,219.53,199.77,0,32.33,0.33,0
5507,25,135.99,133.57,0,22.34,1.94,0
1967,26,96.05,103.4,3.55,8.22,-1.09,0
1868,27,164.65,152.75,1.35,65.21,2.12,0
3257,28,164.81,162.64,0,50.56,-0.78,0
1072,29,98.59,107.9,0,25.51,9.56,0
1671,30,156.62,150.85,0,15.7,-1.82,0
5026,31,246.55,231.99,0,77.42,-3.46,0
9400,32,103.53,107.93,1.92,12.95,21.25,0
7667,33,147.81,151.65,0,24,0.53,0
5104,34,140.59,141.81,0,18.52,7.17,0
3598,35,64.22,74.75,0,15.82,-4.84,0
2135,36,121.5,105.83,0,16.46,-3.27,0
6962,37,100.54,104.23,0,15.17,-5.34,0
840,38,108.18,106.28,2.97,26.67,7.61,0
8033,39,82.87,89.64,2.05,29.46,14.1,0
6665,40,59.7,62.03,0,6.21,8.71,29.86
5817,41,115.93,120,0,32.64,5.47,0
701,42,109.23,107.52,1.49,13.32,-1.51,0
10339,43,115.24,116.4,0,19.75,3.89,0
8793,44,94.32,111.01,0.81,36.41,5.1,0
670,45,127.42,143.9,0,23.22,14.2,0
649,46,80.02,82.73,0,17.33,9.11,0
6662,47,91.79,91.52,6.92,26.28,-0.86,0
6418,48,76.33,78.13,0,11.41,8.02,0
2204,49,83.65,81.93,3.97,26.8,-5.33,0
7137,50,54.1,62.83,0,23.89,-0.15,14.66
253,51,90.27,93.73,3.17,29.66,0.13,0
192,52,136.61,131.55,0,7.46,2.29,0
115,53,135.15,129.46,0,12.72,3.48,0
766,54,48.49,48.49,0,13.96,2.77,44.22
4135,55,38.94,50.71,0,6.36,9.71,65.84
6305,56,60.83,71.3,3.09,12.55,16.08,59.45
4990,57,33.43,44.89,3.24,8.86,0.65,63.55
5700,58,48.4,61.68,0,19.83,7.05,43.47
6814,59,63.63,72.24,0,21.19,1.53,0
5419,60,23.58,25.23,0,8.87,4.12,104.05
11463,61,70.41,0,0,0,0,0
