num,rank,fsm,fuel,climb,auto,penalty,defense_score
4414,1,379.03,368.71,2.1,76.09,3.71,0
3476,2,292.13,283.78,0,67.54,3.91,0
4201,3,181.94,186.92,0,24.61,13.56,0
5199,4,139.08,145.23,0,36.11,0.09,0
115,5,134.91,128.17,5.53,15.08,12.51,0
5474,6,96.53,96.03,1.29,10.02,1.29,0
4322,7,183.44,176.87,1.26,31.01,1.11,0
7157,8,63.49,61.28,0,5.8,-1.47,0
5137,9,107.73,115.37,1.81,14.77,4.26,0
6695,10,90.43,85.36,0,6.96,-1.93,0
3408,11,35.69,43.19,0,9.01,12.4,22.81
4141,12,61.22,66.52,0.68,8.75,1,0
3952,13,50.82,59.94,0,16.06,9.67,12.98
9271,14,62.17,57.95,5.87,7.97,3.97,0
6220,15,63.72,56.67,1.98,7.63,-2.1,0
7447,16,39.51,41.35,0,24.08,2.41,9.83
3309,17,75.46,73.19,0,19.33,2.73,0
6885,18,8.67,8.22,5.04,6.82,7.38,79.61
4276,19,100.64,102.16,2,11.34,7.42,0
4919,20,32.87,33.46,1.56,8.9,-0.17,13.43
7042,21,34.23,32.82,3.02,5.82,2.96,11.29
10336,22,34.42,39.44,1.71,11.11,2.24,15.92
5805,23,92.8,89.87,1.71,17.09,-0.52,0
8891,24,0.23,-6.71,0.7,4.92,-1.64,72.58
5857,25,38.93,47.21,0,0.55,13.87,6.92
3020,26,42.28,46.82,2.07,2.61,2.36,9.69
3295,27,65.21,64.03,1.84,9.39,1.2,0
5500,28,26.35,28.07,0,2.91,-0.46,27.75
5514,29,26.87,28.75,0,14.91,4.65,7.67
2658,30,48.59,51.35,0,9.15,4.92,-1.06
4984,31,28.22,17.87,1.67,7.12,-2.4,30.69
10586,32,7.02,6.85,1.19,12.2,0.94,62.93
9730,33,39.58,51.31,0,10.83,20.16,12.61
4619,34,4.64,8.15,0,5.92,0.48,107.2
5835,35,4.35,7.61,0,5.33,1.48,71.83
8521,36,16.61,20.94,0.7,2.63,0.64,71.7
6072,37,45.99,59.31,0,-0.6,1.97,8.62
