num,rank,fsm,fuel,climb,auto,penalty,defense_score
604,1,281.68,269.08,0,52.37,4.35,0
581,2,264.65,263.79,0,54.17,2.01,0
2813,3,232.63,226.47,0,30.83,6.2,0
1868,4,194.98,191.39,0,27.4,2.65,0
3045,5,221.29,220.63,0,59.49,3.61,0
5104,6,127.81,126.1,0,9.71,-2.24,0
6238,7,111.37,113.83,0,19.68,11.53,0
649,8,66.65,76.82,0,18.39,14.67,0
6506,9,82.91,93.71,0,8.64,5.1,0
2035,10,28.7,31.84,0,2.9,6.38,37.66
6059,11,18.6,26.54,0,12.83,6.59,70.11
668,12,106.73,104.74,0,25.27,1.53,0
10252,13,10.78,17.09,0,2.59,6.27,58.39
10059,14,20.79,17.9,0,10.27,4.32,68.82
4135,15,49.61,54.79,0,6.63,-0.8,-0.22
2643,16,62.02,71.08,0,10.3,9.39,0
4171,17,6.08,5.88,0,5.57,-1.35,50.67
6665,18,8.21,12.23,0,4.48,10.68,115.69
7528,19,23.6,27.59,0,14.41,12.27,39.11
6884,20,47.06,52.23,0,8.86,6.51,0
2854,21,111.55,119.73,0,21,8.16,0
10339,22,82.86,-9.96,0,7.24,6.13,0
6410,23,22.4,14.81,0,6.47,-1.43,32.72
4255,24,3.48,-0.08,0,4.79,-0.5,76.25
7777,25,8.01,16.48,0,-0.53,6.74,26.89
5760,26,22.16,23.28,0,3.81,-1.62,45.03
11247,27,27.87,21.39,0,4.49,-4.08,28.12
7413,28,2.55,3.41,0,4.2,-0.5,86.83
