num,rank,fsm,fuel,climb,auto,penalty,defense_score
2637,1,123.64,113.4,1.76,19.78,-3.74,0
8,2,78.4,86.19,3.39,17.54,19.21,0
3255,3,146.86,135.79,4.55,23.66,6.1,0
5817,4,78.6,83.7,0.75,10.91,4.99,0
3128,5,186.58,172.95,3.78,32.24,2.73,0
2710,6,78.22,72.17,3.46,23.82,-5.53,0
2584,7,61.16,60.71,1.83,10.64,2.87,0
5136,8,92.3,77.63,7.72,10.19,-0.49,0
2485,9,37.97,40.6,5.43,8.79,17.91,7.35
9084,10,78.12,75.15,2.92,9.42,-0.52,0
2429,11,71.87,63.57,3.04,18.51,-3.41,0
9452,12,70.28,75.37,0,11.41,11.43,0
1148,13,44.02,41.88,3.02,9.11,2.29,0
6515,14,33.7,25.27,1.58,6.57,-8.45,8.06
3647,15,37.81,41.4,0,0.8,8.11,0
5025,16,22.49,29.03,1.29,9.59,13,25.61
6657,17,32.86,35.97,0,12,2.12,8.17
399,18,26.88,33.62,1.05,7.16,8.79,16.62
7157,19,50.25,52.64,2.06,7.56,2.5,0
1138,20,43.99,47.22,0,3.01,3.11,7.58
968,21,20.63,20.2,2.33,-0.77,3.73,32.77
8060,22,34.14,30.8,2.84,7.34,2.18,7.91
9772,23,24.92,26.09,2.87,-0.26,-0.55,9.01
2984,24,34.13,29.69,0.77,8.24,-0.78,0
3328,25,96.33,12.05,2.42,9.8,29.18,0
4079,26,10.04,15.99,0.78,0.79,14.11,65.1
702,27,51.21,50.54,4.9,14.05,4.29,0
5805,28,45.59,40.96,2.38,6.6,3.16,0
3020,29,6.13,11.38,2.59,6.98,12.22,64.95
3759,30,0.27,4.62,0,7.03,7.99,55.09
4019,31,-13.82,-13.82,4.81,6.89,22.63,54.64
10147,32,10.29,-6.11,1.44,-1.83,10.4,38.68
6764,33,15.85,15.18,0.76,10.63,-2.23,39.75
10166,34,15.58,15.51,0,3.26,-1.75,27.69
4160,35,53.17,48.82,0,2.37,-5.37,0
7327,36,56.27,56.27,4.56,6.22,0.77,0
3473,37,4.95,9.78,2.44,2.33,7.52,30.32
1159,38,38.46,35.65,3.59,8.79,0.27,0
4276,39,1.66,2.04,1.54,4.52,5.34,73.27
1972,40,16.93,19.15,2.78,2.49,2.75,26.61
4711,41,42.37,-2.44,1.29,3.19,10.44,0
3863,42,74.68,7.78,0,0.35,27.08,0
