num,rank,fsm,fuel,climb,auto,penalty,defense_score
1678,1,424.96,407.36,2.37,95.87,-2.39,0
670,2,127.15,124.94,2,28.98,6.84,0
3257,3,163.93,159.96,0,42.78,6.45,0
5940,4,234.35,228.68,0.63,51.93,13.97,0
846,5,195.07,176.44,0,27.45,-0.95,0
9400,6,97.75,102.65,1.25,19.23,5.63,0
3598,7,63.22,64.6,0,12.89,5.81,0
1072,8,64.36,65.7,1.91,4.64,3.37,0
7137,9,64.16,68.56,1.94,12.66,11.36,0
3189,10,23.86,36.14,0,7.88,15.38,57.15
1138,11,40.72,37.31,0,8.43,4.27,6.66
4698,12,106.79,110.49,1.71,21.73,6.41,0
2135,13,113.82,118.51,2.11,23.12,10.81,0
9111,14,38.54,37.43,0,6.47,2.63,6.31
9125,15,16.32,17.49,1.96,2.04,11.16,75.42
1857,16,71.69,77.9,1.79,15.35,13.01,0
5458,17,109.22,104.2,0,18.14,-2.34,0
199,18,39.02,26.52,0.69,10.73,-4.15,16.3
4135,19,50.95,57.13,0.71,13.88,-1.09,0
701,20,3.18,17.04,0,3.02,17.62,56.42
9038,21,47.23,61.24,0,9.32,9.21,-3.27
6662,22,52.46,52.76,2.81,9.25,-0.09,0
751,23,80.07,80.15,0,9.71,4.22,0
2141,24,45.49,48.27,1.2,17.32,0.25,9.12
11296,25,40.8,37.67,0,14.11,-3.97,15.13
2204,26,47.84,44.28,1.33,2.81,7.1,4.48
5274,27,32.1,32.06,0.71,7.67,5.27,6.74
2073,28,73.47,76.5,0,10.29,6.84,0
2288,29,32.53,41.6,0,9.19,9.49,9.47
11274,30,6.45,-0.47,2.6,9.7,3.03,33.52
1280,31,5.07,8.51,0,5.54,4.55,48.58
10212,32,29.09,42.15,1.15,7.18,5.61,12.19
6981,33,23.05,22.38,0,2.37,-2.71,24.9
6619,34,3.53,9.76,0,8.93,4.2,46.5
3482,35,4.9,0.21,0,3.49,-2.04,30
5430,36,7.24,6.8,0.68,1.71,-2.56,29.01
6884,37,22.08,23.9,2.44,1.75,3.34,20.78
5728,38,21.87,26.81,1.29,6.51,2.57,14.24
