num,rank,fsm,fuel,climb,auto,penalty,defense_score
4414,1,348.86,332.78,0,83.91,7.36,0
294,2,191.13,192.41,0,45.71,3.58,0
3476,3,253.35,248.52,0.88,65.01,6.19,0
1538,4,276.14,258.18,4.66,30.24,9.55,0
9408,5,121.81,126.88,3,28.18,13.22,0
3255,6,189.66,188.91,3.35,45.16,18.2,0
599,7,202.23,190.56,2.06,49.7,8.64,0
7415,8,166.42,184.01,0,64.02,26.49,0
2659,9,164.07,162.33,0,36.94,10.11,0
973,10,197.02,188.82,0,51.12,1.57,0
1388,11,196.06,197.65,2.31,41.22,19.17,0
5474,12,172.15,159.37,0,31.85,4.29,0
9084,13,182.88,182.18,3.61,39.35,3.89,0
696,14,173.55,182.43,0,35.79,0.51,0
4201,15,142.76,143.46,0,30.52,10.29,0
3512,16,162.27,159.48,2.53,20.37,0.68,0
4322,17,145.45,154.2,0,40.84,10.63,0
2102,18,170.87,167.09,0,34.72,15.57,0
2637,19,122.05,129.27,4.05,22.73,7.24,0
2584,20,122.61,120.04,0.84,23.12,5.84,0
4415,21,129.57,129.21,0,23.26,-2.91,0
5199,22,157.7,158.35,0,30.47,4.9,0
6995,23,135.23,131.33,2.22,33.78,4.12,0
687,24,138.91,135.79,0,30.78,6.8,0
6695,25,152.84,160.67,0.88,27.32,-2.73,0
7042,26,83.98,91.46,5.96,30.93,7.28,0
2984,27,56.6,76.67,0,10.1,5.2,0
4123,28,132.09,131.67,0,35.4,6.89,0
5136,29,135.13,138.51,0,17.68,-1.08,0
3408,30,97.9,102.48,0,21.54,9.23,0
9452,31,156.04,156.18,0,22.97,-3,0
3128,32,157.3,163.11,0,33.87,3.77,0
8119,33,123.7,117.86,1.71,15.35,4.19,0
3925,34,78.08,94.47,0,11.19,7.24,0
4,35,135.15,134.49,0,10.12,8.68,0
2429,36,125.22,114,0,20.69,-0.92,0
5137,37,90.38,81.41,0,16.78,1.21,0
812,38,82.88,77.5,0,16.04,6.29,0
2658,39,57.27,76.77,0,40.16,6.77,9.35
4419,40,91.85,95.13,0,19.17,7.42,0
1160,41,84.69,78.48,0,5.77,-0.19,0
7157,42,72.97,91.58,0,23.72,10.74,0
4738,43,136.64,132.38,0,32.17,-3.37,0
3647,44,95.69,100.19,0.85,29.17,3.05,0
5805,45,75.39,100.26,0,19.44,20.33,0
6220,46,93.95,89.26,0,20.01,-2.05,0
4079,47,74.72,85.53,1.54,25.53,2.33,0
1148,48,77.86,80.31,0,10.9,4.83,0
1138,49,89.13,91.66,2.6,19.48,3.26,0
2404,50,131.67,140.31,1.89,18.18,0.1,0
4999,51,76.06,82.91,0,12.98,1.69,0
2485,52,84.85,104.95,0,13.41,-0.61,0
3309,53,46.1,54.89,0,16.85,1.47,53.58
2710,54,100.03,95.69,0,35.18,5.07,0
1197,55,63.96,85.63,0,21.9,26.67,0
589,56,65.36,63.39,2.88,8.35,3.52,32.09
3749,57,93.98,94.33,0,14.59,2.23,0
10586,58,46.08,59.94,0.84,9.3,-4.17,78.31
968,59,44.37,57.15,0,20.43,5.44,68.63
11024,60,50.8,54.36,0,7.39,5.63,-1.45
1622,61,56.15,0,0,0,0,0
