num,rank,fsm,fuel,climb,auto,penalty,defense_score
9408,1,205.34,216.66,0,55.7,24.22,0
1538,2,142.17,144.66,2.72,27.07,11.52,0
2102,3,195.77,191.84,1,42.38,3.54,0
599,4,220.88,214.42,0,36.89,-1.93,0
4123,5,71.02,69.79,1.34,28.4,4.44,0
1160,6,102.33,99.31,1.07,4.07,3.94,0
812,7,67.52,66.73,1.29,7.35,0.34,0
4415,8,124.77,122.19,1.63,25.31,7.41,0
4999,9,59.06,60.97,0,14.35,4.03,0
6904,10,36.96,40.14,2.25,10.99,7.27,7.02
5669,11,55.47,59.81,2.67,5.41,10.11,0
1836,12,40.83,41.43,0,10.39,-1.15,0.39
5851,13,30.67,34.46,0,6.13,3.22,5.22
7230,14,35.09,37.47,0,18.68,3.62,17.78
4470,15,24.66,26.08,3.3,4.03,2.19,9.49
4141,16,41.64,47.04,0,2.55,11.53,0
3952,17,35.4,28.28,1.7,17.59,0.41,6.71
5285,18,28.92,30.44,2.63,11.28,6.23,10.58
7447,19,33.98,35.31,0.6,1.01,-0.08,8.29
4079,20,52.6,50.9,0,5.76,-0.59,0
5124,21,34.87,28.49,0,7.73,-3.49,8.53
8006,22,42.93,43.83,1.2,8.56,-1.15,1.29
968,23,16.96,6.9,2.33,4.81,-2.83,26.12
4501,24,24.29,27.99,0,3.8,9.93,27
867,25,21.23,4.84,0,7.3,21.58,27.22
9573,26,18.82,24.37,0.58,5.73,13.41,22.99
1197,27,37.93,36.74,0,5.06,1.17,5.89
3473,28,19.03,17.86,1.81,8.37,1.82,39.96
8898,29,2.07,-5.46,0,6.59,8.4,20.25
