num,rank,fsm,fuel,climb,auto,penalty,defense_score
3128,1,266.68,271.02,0,57.33,17.43,0
9452,2,136.75,141.68,0,15.28,12.68,0
3647,3,116.52,117,0.68,28.1,2.28,0
6995,4,132.07,131.79,0.7,27.87,4.05,0
8119,5,82.34,76.53,2.28,6.17,-2.99,0
5514,6,39.6,38.24,1.32,4.98,2.02,8.26
2102,7,155.65,147.01,0.75,25.91,1.62,0
812,8,57.26,55.17,0,10.1,4.12,0
2984,9,62.88,59.05,4.31,10.12,6.96,0
5474,10,69.88,73.51,1.88,16.39,13.08,0
4419,11,75.7,72.18,1.71,8.31,-0.54,0
10392,12,26.53,25.25,2,5.58,0.83,14.82
3965,13,26.49,22.41,1.25,2.57,-1.69,3.76
2543,14,57.83,55.24,0.76,11.85,1.25,0
4738,15,59.52,61.7,0.75,11.36,5.73,0
2658,16,25.17,26.65,1.58,2.65,3.1,18.64
6515,17,31.77,27.53,5.88,3.42,1.85,1.37
8870,18,10.58,8.69,3.23,3.49,-0.47,31.17
10625,19,48.87,53.94,0,6.94,3.77,4.08
4160,20,45.04,42.2,0,4.68,0.17,0
10586,21,37.27,33.27,1.96,10.75,4.28,10.03
3341,22,9.06,11.27,0,10.33,6.08,24.96
2485,23,100.99,90.49,1.94,10.22,1.81,0
11459,24,29.98,31.63,4.35,7.22,10.5,8.7
1622,25,12.63,12.78,0,6.33,0.72,23.87
9730,26,40.06,39.39,0,4.65,2.15,6.71
3749,27,4.31,1.43,1.86,7.94,0.59,26.82
5025,28,54,50.49,2.11,12.11,0.28,0
8006,29,16.16,22.12,0.69,4.76,6.81,10.46
6885,30,21.17,17.12,2.14,3.84,-1.17,14.01
4919,31,6.28,6.36,1.43,3.31,1.04,35.6
9615,32,37.89,44.25,0,3.23,0.89,2.41
2827,33,5.87,6.58,0.76,4.68,-1.12,26.72
8891,34,15.63,9.02,2.26,9.27,-2.21,22.74
4984,35,8.47,6.24,0,4.38,-4.55,35.64
1972,36,11.77,9.19,2,6.76,3.14,26.11
3704,37,1.36,9.14,3.23,3.98,12.02,24
9573,38,7.02,3.84,0,9.17,-3.27,17.49
2839,39,23.69,31.07,0,0.43,0.62,16.63
6695,40,25.62,23.73,0,0.26,-1.34,6.74
