num,rank,fsm,fuel,climb,auto,penalty,defense_score
1323,1,342.97,335.32,0,61.09,6.11,0
5940,2,141.19,132.65,1.33,34.61,3.66,0
840,3,74.13,72.91,1.87,13.51,2.51,0
7667,4,71.82,67.26,0,25.2,-1.23,0
8033,5,90.36,87.34,5.04,5.86,9.84,0
5104,6,105.72,98.9,0.67,23.99,1.13,0
3970,7,82.09,75.27,0.71,8.25,-1,0
2551,8,80.74,83.68,0.75,19.44,-0.36,0
5507,9,69.82,69.2,1.29,11.19,3.61,0
5171,10,51.62,49.62,1.58,14.88,1.03,0
6506,11,24.25,30.2,0,5.21,3.18,21.91
841,12,56.2,52.67,1.79,16.18,9.46,0
114,13,77.68,67.95,0,21.97,4.38,0
5700,14,22.04,20.32,0,7.23,-2.74,27.15
253,15,64.35,69.73,1.26,8.02,4.06,0
10281,16,24.34,18.77,0.72,11.02,-0.38,-2.84
10615,17,50.01,51.35,0.67,6.79,-2.53,0
11243,18,30.33,28.71,5.27,4.92,1.67,9.21
4765,19,16.49,12.75,0,10.12,-0.97,39.82
2035,20,22.36,25.78,1.48,6.85,5.49,22.07
649,21,45.88,44.56,0.76,8.72,1,8.75
9114,22,30.14,27.04,0,6.88,-0.26,0.3
1280,23,27.03,26.08,0.68,4.31,-0.68,24.76
8840,24,22.12,24.4,0,7.82,6.47,19.33
4973,25,20.83,24.76,0,7.56,-1.74,16.91
4159,26,36.22,41.69,0,9.88,5.69,5.07
8016,27,17.89,24.45,1.79,4.6,8.11,25.62
8852,28,35.2,36.71,0.7,2.32,-0.77,-0.04
10221,29,44.38,44.74,0,4.77,1.53,0
4904,30,20.55,16.29,4.48,9.67,7.69,15.44
4186,31,21.06,25.12,3.99,1.66,4.67,25.04
11463,32,3.88,2.79,2.59,5.82,2.89,44.75
8045,33,3.27,2.75,1.38,2.03,2.55,26.33
7245,34,47.74,58.47,0.72,3.6,-0.33,0
6918,35,14.85,12.44,3.69,4.36,1.41,30.54
4669,36,3.36,4.27,0,2.02,2.73,20.17
8751,37,21.27,23.04,0,3.02,4.52,16.34
11230,38,9.24,8.14,5.08,3.17,6.92,34.19
