num,rank,fsm,fuel,climb,auto,penalty,defense_score
254,1,354.94,354.15,0,91.5,11.93,0
9470,2,223.17,222.73,0,46.25,12.8,0
581,3,178.47,169.1,0,32.39,-0.68,0
972,4,172.24,164.61,0,19.93,1.09,0
3256,5,187,176.75,0,31.77,-0.05,0
5026,6,124.94,126.79,0,27.25,11.42,0
2813,7,154.17,142.73,0,14.07,-2.57,0
6814,8,5.56,8.86,0,4.24,0.9,57.83
6238,9,128.99,121.63,0,16.72,-0.58,0
6962,10,66.29,69.23,0,18.91,21.8,0
115,11,61.3,72.16,0,12.74,4.57,0
2643,12,11.67,24.55,0,3.64,14.21,44.78
4990,13,30.65,45.13,0,7.38,16.31,2.43
100,14,56.62,54.34,0,11.63,3.73,12.8
1351,15,48.39,54.43,0,14.7,11.68,13.49
6418,16,38.23,48,0,18.26,12.06,3.75
5419,17,29.16,30.03,0,11.56,2.97,30.55
1868,18,109,106.6,0,19.83,8.72,0
2854,19,66.4,63.28,1.71,8.66,3.38,0
1700,20,14.35,17.3,0,7.43,4.58,53.88
6059,21,96.14,104.66,0,1.35,1.3,0
1671,22,16.2,17.22,0,1.68,6.31,46.37
5499,23,46.36,53.4,0,1.73,-1.69,8.4
8048,24,70.32,84.77,0,18.04,13.12,0
766,25,49.89,50.04,0,11.73,0.32,0
668,26,130.93,128.99,0,14.74,-0.28,0
1967,27,24.7,45.85,1.79,5.3,26.76,44.94
7607,28,40.28,34.51,0,14.51,-2.55,10.37
10372,29,4.91,8.25,0,3.89,5.03,25.25
10644,30,36.81,37.42,0,7.65,-0.03,-3.13
6822,31,9.92,20.34,0,10.88,11.73,41.48
11247,32,40.24,54.58,0,6.94,6.46,-20
7528,33,38.45,40.57,0,11.58,7.28,25.09
2367,34,9.87,11.43,0,4.62,1.29,20.91
1854,35,5.28,4.51,0,6.8,-0.43,24.5
8404,36,20.18,29.05,0,8.6,4.35,26.58
6665,37,27.19,22.64,1.82,6.47,-0.52,28.46
