num,rank,fsm,fuel,climb,auto,penalty,defense_score
4414,1,343.73,330.73,3.55,54.27,4.67,0
7415,2,149.85,136.85,2.91,18.51,0.32,0
5199,3,99.59,91.99,3.9,24.77,1.61,0
599,4,125.54,122.34,0,27.77,6.22,0
973,5,186.35,180.69,0.64,53.14,-0.57,0
3512,6,140.12,131.76,5.04,21.8,-0.98,0
5285,7,11.08,10.43,4.54,16.77,5.05,77.25
5136,8,114.59,115.09,6.6,15.39,3.56,0
3501,9,86.11,86.05,1.37,19.73,4.59,0
1160,10,60.32,54.16,3.05,12.19,8.57,0
3925,11,57.05,63.25,2.7,19.05,3.35,0
6036,12,172.86,175.54,1.71,45.63,10.25,0
1538,13,94.59,88.23,3.03,29.2,6.35,0
6934,14,68.11,75.33,0,18.95,3.63,0
1388,15,69.87,74.55,1.29,4.5,12.79,0
4711,16,42.37,44.51,0,1.05,6.18,14.13
8533,17,61.89,62.12,3.1,-1.88,4.58,0
6560,18,64.03,67.06,2.23,21.17,5.74,0
7323,19,16.83,13.79,3.87,9.11,0.94,60.26
9520,20,40.97,40.82,2.34,9.53,-3.76,0
6060,21,48.29,50.8,3.26,6.84,3.48,11.67
22,22,18.51,24.33,2.21,4.03,2.72,35.63
589,23,45.5,40.18,2.36,2.43,-0.67,0
11024,24,27.9,32.94,3.13,7.78,9.14,21.01
10936,25,40.84,44.04,3.3,14.88,1.19,4.05
5869,26,20.86,26.16,3.05,5.13,4.66,28.49
7327,27,56.27,56.27,1.63,-4.73,4.49,0
9271,28,33.69,32.14,3.36,7.16,3.08,34.79
691,29,30.56,26.72,0.68,5.88,-2.51,18.57
3309,30,22.62,19.15,0,8.35,-0.04,31.23
192,31,10.29,10.73,3.05,7.33,0.25,30.33
5500,32,31.35,37.7,3.25,5.79,-1.27,9.77
5012,33,34.49,23.9,4.83,20.81,-0.53,13.64
6764,34,17.03,20.69,3.53,6.62,5.27,50.86
8521,35,27.01,19.92,4.48,5.49,-1.14,30.88
1661,36,17.2,12.2,2.89,5.02,2.01,34.04
